Name;XY Scope Project;
File;E:\hawino\Measurements\VarianceMeasurement\NewVarinaceMeasurements\Scope Project.csv;
Starttime of export;133228415217429000;Donnerstag, 9. März 2023;14:18:41.742
Endtime of export;133228415441340474;Donnerstag, 9. März 2023;14:19:04.134


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851

280;1000.718505859375;1016.6688232421875;1036;1000;-42.419652904470581;49.571419328091821
290;1000.718505859375;1016.6688232421875;1036;1000;-37.191319285702981;62.454419155335849
300;1000.718505859375;1016.6688232421875;1036;1000;-39.501104534068624;56.577591830393892
310;1003.1815185546875;1016.2244262695313;1036;1000;-29.047946220025779;46.991315118917136
320;1003.1815185546875;1016.2244262695313;1036;1000;-37.243062320769354;29.292837889710462
330;1003.1815185546875;1016.2244262695313;1045;1000;-16.499611466904312;36.913985994446307
340;1003.1815185546875;1016.2244262695313;1045;1000;-20.946009130590163;69.797434315285869
350;1003.1815185546875;1016.2244262695313;1045;1000;-34.958328606388172;55.720174343621835
360;1004.0819091796875;1014.4796752929688;1045;1000;-13.013347285479647;32.793919144237492
370;1004.0819091796875;1014.4796752929688;1045;1000;-37.482467915249437;58.278884731961526
380;1004.0819091796875;1014.4796752929688;1055;1000;-33.779088267328625;80.172184299693285
390;1004.0819091796875;1014.4796752929688;1055;1000;-7.6276222168253458;65.930395572293889
400;1007.8189697265625;1012.16552734375;1055;1000;-22.947859801734509;53.650043471551768
410;1007.8189697265625;1012.16552734375;1055;1000;-24.316614401412473;54.775110504771888
420;1007.8189697265625;1012.16552734375;1055;1000;-12.782046491759006;58.269086105018182
430;1007.8189697265625;1012.16552734375;1066;1000;-26.653624800435662;60.188718031745317
440;1010.412109375;1011.640625;1066;1000;-27.3644190829809;71.109355575141791
450;1010.412109375;1011.640625;1066;1000;-27.452714002374918;63.990423045633257
460;1010.412109375;1011.640625;1066;1000;-35.692286639920404;76.8616476310506
470;1010.412109375;1011.640625;1066;1000;-37.319654352338887;79.004658445111943
480;1010.412109375;1011.640625;1078;1000;-30.483236806693789;71.937246829641509
490;1013.4213256835938;1008.10888671875;1078;1000;-36.131659030125959;92.45097093550298
500;1013.4213256835938;1008.10888671875;1078;1000;-35.6892000351331;92.880601412561063
510;1013.4213256835938;1008.10888671875;1078;1000;-46.002722509871155;94.470854468634769
520;1013.4213256835938;1008.10888671875;1078;1000;-37.5737335575656;90.498046050017408
530;1016.0498046875;1007.297119140625;1091;1000;-27.171659194624162;93.312882057266492
540;1016.0498046875;1007.297119140625;1091;1000;-39.416072286846195;113.28490665360644
550;1016.0498046875;1007.297119140625;1091;1000;-43.428776216978662;125.44435107789602
560;1016.0498046875;1007.297119140625;1091;1000;-31.82312493109325;121.566443247753
570;1019.0452880859375;1005.259765625;1091;1000;-41.067694406656052;125.91767186127055
580;1019.0452880859375;1005.259765625;1105;1000;-37.99666632630435;127.9452320175608
590;1019.0452880859375;1005.259765625;1105;1000;-29.527650369798948;145.546200672918
600;1019.0452880859375;1005.259765625;1105;1000;-29.353972217261635;150.92841841157502
610;1019.0452880859375;1005.259765625;1105;1000;-26.591835969192942;153.86474136259167
620;1021.13525390625;1003.6937255859375;1105;1000;-19.931598715612992;162.71411761145953
630;1021.13525390625;1003.6937255859375;1120;1000;-21.93844750545307;159.4964399844981
640;1021.13525390625;1003.6937255859375;1120;1000;-38.652972814942558;169.36783402710958
650;1021.13525390625;1003.6937255859375;1120;1000;-42.576829613418511;180.76875126591497
660;1028.77587890625;1001.0601196289063;1120;1000;-13.938264024993174;174.850593947253
670;1028.77587890625;1001.0601196289063;1120;1000;-23.313477168577265;177.63160480141059
680;1028.77587890625;1001.0601196289063;1136;1000;-34.034780485116585;197.72791011385917
690;1028.77587890625;1001.0601196289063;1136;1000;-23.1303687973898;197.22291742469767
700;1034.287109375;998.52862548828125;1136;1000;-37.55829348463795;202.20230262407893
710;1034.287109375;998.52862548828125;1136;1000;-19.1740415661314;220.45121239623035
720;1034.287109375;998.52862548828125;1136;1000;-13.684536467787261;204.90800843642268
730;1034.287109375;998.52862548828125;1153;1000;-10.643603805099545;217.03627232674148
740;1039.2744140625;998.2587890625;1153;1000;1.7457089613127508;230.89870044238
750;1039.2744140625;998.2587890625;1153;1000;-16.783418321243545;210.72230859282632
760;1039.2744140625;998.2587890625;1153;1000;-19.813781695913143;201.06234282511312
770;1039.2744140625;998.2587890625;1153;1000;-3.026347721056041;209.77680028877245
780;1039.2744140625;998.2587890625;1171;1000;-9.6281446358151186;179.64861777414581
790;1052.699462890625;994.9278564453125;1171;1000;-0.99536619532222659;197.3650480900879
800;1052.699462890625;994.9278564453125;1171;1000;-26.28437802784412;197.1771069243259
810;1052.699462890625;994.9278564453125;1171;1000;-25.88919144195259;212.41216244137331
820;1052.699462890625;994.9278564453125;1171;1000;9.98556123128462;237.60236649810179
830;1057.74853515625;994.4437255859375;1190;1000;4.2685290422675664;207.37336982702661
840;1057.74853515625;994.4437255859375;1190;1000;-9.352729829984213;200.31583100151352
850;1057.74853515625;994.4437255859375;1190;1000;-13.037148786673761;195.77273041583482
860;1057.74853515625;994.4437255859375;1190;1000;-6.1718700319403439;203.66306765447493
870;1063.69287109375;994.325439453125;1190;1000;-17.46942906727805;211.96938040062472
880;1063.69287109375;994.325439453125;1210;1000;-24.854303444991238;227.45504390030294
890;1063.69287109375;994.325439453125;1210;1000;-26.957627792184894;228.74580586913552
900;1063.69287109375;994.325439453125;1210;1000;-33.011641000968964;230.80785085258148
910;1070.2017822265625;994.531005859375;1210;1000;-51.115053928119131;252.00476664237993
920;1070.2017822265625;994.531005859375;1210;1000;-44.965180816569578;279.17975926669988
930;1070.2017822265625;994.531005859375;1231;1000;-39.5424697035524;257.24196622836809
940;1070.2017822265625;994.531005859375;1231;1000;-28.232532315743263;262.62021189906932
950;1070.2017822265625;994.531005859375;1231;1000;-37.8960306447274;265.99335268432787
960;1082.6923828125;992.544921875;1231;1000;-53.6835473139468;272.24323670677461
