BitMask;0xffffffffffffffff;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

0;4950.60693359375;1546.142822265625;0;397.21143254837295;0;400;0;-29.401298398333324;0;0;0;-0.21778739554320981;0;0;0;565;0;-1;0;282;0;4950.60693359375;0;1546.142822265625;0;1.8514711856842041;0;-3.0436153411865234;0;0;0;0;0;0
10;4950.60693359375;1546.142822265625;10;397.21143254837295;10;400;10;-29.401298398333324;10;0;10;-0.21778739554320981;10;0;10;565;10;-1;10;282;10;4950.60693359375;10;1546.142822265625;10;1.8514711856842041;10;-3.0436153411865234;10;0;10;0;10;0
20;4950.60693359375;1546.142822265625;20;397.21143254837295;20;400;20;-29.401298398333324;20;0;20;-0.21778739554320981;20;0;20;565;20;-1;20;282;20;4950.60693359375;20;1546.142822265625;20;1.8514711856842041;20;-3.0436153411865234;20;0;20;0;20;0
30;4950.60693359375;1546.142822265625;30;397.21143254837295;30;400;30;-29.401298398333324;30;0;30;-0.21778739554320981;30;0;30;565;30;-1;30;282;30;4950.60693359375;30;1546.142822265625;30;1.8514711856842041;30;-3.0436153411865234;30;0;30;0;30;0
40;4950.60693359375;1546.142822265625;40;397.21143254837295;40;400;40;-29.401298398333324;40;0;40;-0.21778739554320981;40;0;40;565;40;-1;40;282;40;4950.60693359375;40;1546.142822265625;40;1.8514711856842041;40;-3.0436153411865234;40;0;40;0;40;0
50;4950.60693359375;1546.142822265625;50;397.21143254837295;50;400;50;-29.401298398333324;50;0;50;-0.21778739554320981;50;0;50;565;50;-1;50;282;50;4950.60693359375;50;1546.142822265625;50;1.8514711856842041;50;-3.0436153411865234;50;0;50;0;50;0
60;4950.60693359375;1546.142822265625;60;397.21143254837295;60;400;60;-29.401298398333324;60;0;60;-0.21778739554320981;60;0;60;565;60;-1;60;282;60;4950.60693359375;60;1546.142822265625;60;1.8514711856842041;60;-3.0436153411865234;60;0;60;0;60;0
70;4950.60693359375;1546.142822265625;70;397.21143254837295;70;400;70;-29.401298398333324;70;0;70;-0.21778739554320981;70;0;70;565;70;-1;70;282;70;4950.60693359375;70;1546.142822265625;70;1.8514711856842041;70;-3.0436153411865234;70;0;70;0;70;0
80;4950.60693359375;1546.142822265625;80;397.21143254837295;80;400;80;-29.401298398333324;80;0;80;-0.21778739554320981;80;0;80;565;80;-1;80;282;80;4950.60693359375;80;1546.142822265625;80;1.8514711856842041;80;-3.0436153411865234;80;0;80;0;80;0
90;4950.60693359375;1546.142822265625;90;397.21143254837295;90;400;90;-29.401298398333324;90;0;90;-0.21778739554320981;90;0;90;565;90;-1;90;282;90;4950.60693359375;90;1546.142822265625;90;1.8514711856842041;90;-3.0436153411865234;90;0;90;0;90;0
100;4950.60693359375;1546.142822265625;100;397.21143254837295;100;400;100;-29.401298398333324;100;0;100;-0.21778739554320981;100;0;100;565;100;-1;100;282;100;4950.60693359375;100;1546.142822265625;100;1.8514711856842041;100;-3.0436153411865234;100;0;100;0;100;0
110;4950.60693359375;1546.142822265625;110;397.21143254837295;110;400;110;-29.401298398333324;110;0;110;-0.21778739554320981;110;0;110;565;110;-1;110;282;110;4950.60693359375;110;1546.142822265625;110;1.8514711856842041;110;-3.0436153411865234;110;0;110;0;110;0
120;4950.60693359375;1546.142822265625;120;397.21143254837295;120;400;120;-29.401298398333324;120;0;120;-0.21778739554320981;120;0;120;565;120;-1;120;282;120;4950.60693359375;120;1546.142822265625;120;1.8514711856842041;120;-3.0436153411865234;120;0;120;0;120;0
130;4950.60693359375;1546.142822265625;130;397.21143254837295;130;400;130;-29.401298398333324;130;0;130;-0.21778739554320981;130;0;130;565;130;-1;130;282;130;4950.60693359375;130;1546.142822265625;130;1.8514711856842041;130;-3.0436153411865234;130;0;130;0;130;0
140;4950.60693359375;1546.142822265625;140;397.21143254837295;140;400;140;-29.401298398333324;140;0;140;-0.21778739554320981;140;0;140;565;140;-1;140;282;140;4950.60693359375;140;1546.142822265625;140;1.8514711856842041;140;-3.0436153411865234;140;0;140;0;140;0
150;4950.60693359375;1546.142822265625;150;397.21143254837295;150;400;150;-29.401298398333324;150;0;150;-0.21778739554320981;150;0;150;565;150;-1;150;282;150;4950.60693359375;150;1546.142822265625;150;1.8514711856842041;150;-3.0436153411865234;150;0;150;0;150;0
160;4950.60693359375;1546.142822265625;160;397.21143254837295;160;400;160;-29.401298398333324;160;0;160;-0.21778739554320981;160;0;160;565;160;-1;160;282;160;4950.60693359375;160;1546.142822265625;160;1.8514711856842041;160;-3.0436153411865234;160;0;160;0;160;0
170;4950.60693359375;1546.142822265625;170;397.21143254837295;170;400;170;-29.401298398333324;170;0;170;-0.21778739554320981;170;0;170;565;170;-1;170;282;170;4950.60693359375;170;1546.142822265625;170;1.8514711856842041;170;-3.0436153411865234;170;0;170;0;170;0
180;4950.60693359375;1546.142822265625;180;397.21143254837295;180;400;180;-29.401298398333324;180;0;180;-0.21778739554320981;180;0;180;565;180;-1;180;282;180;4950.60693359375;180;1546.142822265625;180;1.8514711856842041;180;-3.0436153411865234;180;0;180;0;180;0
