Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_y_fb8.csv;
Starttime of export;133161975881726000;Donnerstag, 22. Dezember 2022;16:46:28.172
Endtime of export;133161976284495671;Donnerstag, 22. Dezember 2022;16:47:08.449


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref
1270;-0.12408888888888887;0;-3.626914391049231;0;141.8685;100
1280;-0.15123333333333336;0;-6.8004644832173051;0;148.41225;100
1290;-0.12602777777777777;0;4.0802786899303829;0;127.47224999999999;100
1300;-0.11439444444444444;0;7.7071930809796143;0;121.19024999999999;100
1310;-0.085311111111111157;0;-1.8134571955246135;0;131.3985;100
1320;0;0;-4.0802786899303829;0;131.13675;100
1330;-0.060105555555555579;0;6.3471001843361492;0;127.734;100
1340;-0.14929444444444442;0;8.6139216787419191;0;125.90174999999999;100
1350;-0.063983333333333323;0;0;0;119.358;100
1360;-0.025205555555555554;0;0.45336429888115642;0;119.09625;100
1370;-0.13378333333333334;0;0.45336429888115232;0;115.43175000000001;100
1380;-0.1376611111111111;0;8.160557379860764;0;107.84100000000001;100
1390;-0.091127777777777808;0;7.70719308097961;0;118.04925000000002;100
1400;-0.10663888888888894;0;-5.4403715865738445;0;135.5865;100
1410;-0.11827222222222222;0;-0.45336429888115232;0;123.80774999999998;100
1420;-0.083372222222222236;0;9.5206502765042273;0;114.38475;100
1430;-0.087249999999999966;0;4.9870072876926921;0;127.99575;100
1440;-0.056227777777777793;0;-3.626914391049231;0;128.2575;100
1450;-0.10082222222222216;0;4.0802786899303829;0;119.09625;100
1460;-0.16092777777777775;0;10.880743173147684;0;131.39849999999998;100
1470;-0.10469999999999995;0;3.1735500921680746;0;137.41875000000002;100
1480;-0.031022222222222222;0;-5.440371586573848;0;129.3045;100
1490;-0.11245555555555556;0;-3.626914391049231;0;127.734;100
1500;-0.16480555555555557;0;13.147564667553452;0;123.80775;100
1510;-0.079494444444444437;0;9.97401457538538;0;117.26400000000001;100
1520;-0.011633333333333301;0;-4.9870072876926876;0;131.13675;100
1530;-0.046533333333333343;0;-9.5206502765042273;0;120.14325000000001;100
1540;-0.11439444444444444;0;13.147564667553453;0;92.92125;100
1550;-0.054288888888888873;0;17.227843357483838;0;99.464999999999989;100
1560;0.017450000000000038;0;1.8134571955246175;0;139.7745;100
1570;-0.036838888888888907;0;-11.787471770909994;0;130.875;100
1580;-0.11827222222222222;0;5.8937358854549942;0;89.256750000000011;100
1590;-0.046533333333333322;0;14.507657564196917;0;100.512;100
1600;0.042655555555555544;0;-4.0802786899303829;0;136.89525;100
1610;0.038777777777777793;0;-19.041300553008451;0;121.452;100
1620;-0.095005555555555538;0;5.4403715865738418;0;82.1895;100
1630;-0.1047;0;20.401393449651913;0;99.72675;100
1640;0.06398333333333335;0;-3.1735500921680786;0;110.72025000000001;100
1650;0.10082222222222223;0;-27.201857932869217;0;109.4115;100
1660;-0.075616666666666651;0;-8.1605573798607658;0;94.23;100
1670;-0.0853111111111111;0;19.948029150770761;0;82.713000000000008;100
1680;0.046533333333333343;0;13.60092896643461;0;97.371;100
1690;0.0717388888888889;0;-14.961021863078068;0;110.19675000000001;100
1700;-0.036838888888888893;0;-12.240836069791145;0;86.115749999999991;100
1710;-0.071738888888888908;0;9.06728597762307;0;80.619;100
1720;0.027144444444444436;0;15.867750460840377;0;101.82074999999999;100
1730;0.077555555555555544;0;-4.9870072876926876;0;107.05574999999999;100
1740;-0.013572222222222237;0;-10.427378874266532;0;87.686249999999987;100
1750;-0.046533333333333343;0;-3.626914391049227;0;83.236499999999992;100
1760;0.079494444444444451;0;1.3600928966434611;0;92.397749999999988;100
1770;0.09694444444444443;0;4.9870072876926921;0;98.679750000000013;100
1780;-0.048472222222222229;0;-2.26682149440577;0;87.686250000000015;100
1790;-0.021327777777777772;0;-13.147564667553453;0;83.49825;100
1800;0.085311111111111129;0;2.26682149440577;0;86.115749999999991;100
1810;0.0891888888888889;0;12.240836069791145;0;86.63925;100
1820;-0.01551111111111112;0;-9.5206502765042238;0;80.357250000000008;100
1830;0.0058166666666666852;0;-14.054293265315764;0;82.45125;100
1840;0.056227777777777779;0;6.8004644832173051;0;89.25675;100
