SymbolName;Camera.cameraData.robotPosition[2].x;Camera.cameraData.robotPosition[2].y;SymbolName;WheelEncoders.vXCartesianFromMotors;SymbolName;MotorDrivers.vXCartesianToMotors;SymbolName;WheelEncoders.vYCartesianFromMotors;SymbolName;MotorDrivers.vYCartesianToMotors;SymbolName;WheelEncoders.vthetaCartesianFromMotors;SymbolName;MotorDrivers.vThetaCartesianToMotors;SymbolName;ParameterEstimation.i1;SymbolName;Camera.cameraData.robotPosition[2].x;SymbolName;Camera.cameraData.robotPosition[2].y;SymbolName;Camera.cameraData.robotPosition[2].e;SymbolName;Camera.cameraData.robotPosition[2].theta
NetID;5.53.207.184.1.1;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1
Port;851;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851
Offset;0;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0
ScaleFactor;1;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

80;4716.7578125;1620.217041015625;80;0;80;0;80;0;80;0;80;0;80;0;80;-4;80;4716.7578125;80;1620.217041015625;80;4.88301420211792;80;-2.6871225833892822
90;4716.7578125;1620.217041015625;90;0;90;0;90;0;90;0;90;0;90;0;90;6;90;4716.7578125;90;1620.217041015625;90;4.88301420211792;90;-2.6871225833892822
100;4716.7578125;1620.217041015625;100;0;100;0;100;0;100;0;100;0;100;0;100;-4;100;4716.7578125;100;1620.217041015625;100;4.88301420211792;100;-2.6871225833892822
110;4716.7578125;1620.217041015625;110;0;110;0;110;0;110;0;110;0;110;0;110;-2;110;4716.7578125;110;1620.217041015625;110;4.88301420211792;110;-2.6871225833892822
120;4715.99951171875;1617.78173828125;120;0;120;0;120;0;120;0;120;0;120;0;120;-4;120;4715.99951171875;120;1617.78173828125;120;4.9792838096618652;120;-2.7152063846588135
130;4715.99951171875;1617.78173828125;130;0;130;0;130;0;130;0;130;0;130;0;130;-3;130;4715.99951171875;130;1617.78173828125;130;4.9792838096618652;130;-2.7152063846588135
140;4715.99951171875;1617.78173828125;140;0;140;0;140;0;140;0;140;0;140;0;140;-11;140;4715.99951171875;140;1617.78173828125;140;4.9792838096618652;140;-2.7152063846588135
150;4715.99951171875;1617.78173828125;150;0;150;0;150;0;150;0;150;0;150;0;150;-4;150;4715.99951171875;150;1617.78173828125;150;4.9792838096618652;150;-2.7152063846588135
160;4716.05078125;1617.753662109375;160;0;160;0;160;0;160;0;160;0;160;0;160;3;160;4716.05078125;160;1617.753662109375;160;4.55376672744751;160;-2.7157316207885742
170;4716.05078125;1617.753662109375;170;0;170;0;170;0;170;0;170;0;170;0;170;-4;170;4716.05078125;170;1617.753662109375;170;4.55376672744751;170;-2.7157316207885742
180;4716.05078125;1617.753662109375;180;0;180;0;180;0;180;0;180;0;180;0;180;-2;180;4716.05078125;180;1617.753662109375;180;4.55376672744751;180;-2.7157316207885742
190;4716.05078125;1617.753662109375;190;0;190;0;190;0;190;0;190;0;190;0;190;1;190;4716.05078125;190;1617.753662109375;190;4.55376672744751;190;-2.7157316207885742
200;4716.0048828125;1617.7413330078125;200;0;200;0;200;0;200;0;200;0;200;0;200;-4;200;4716.0048828125;200;1617.7413330078125;200;4.7356367111206055;200;-2.7160022258758545
210;4716.0048828125;1617.7413330078125;210;0;210;0;210;0;210;0;210;0;210;0;210;3;210;4716.0048828125;210;1617.7413330078125;210;4.7356367111206055;210;-2.7160022258758545
220;4716.0048828125;1617.7413330078125;220;0;220;0;220;0;220;0;220;0;220;0;220;-6;220;4716.0048828125;220;1617.7413330078125;220;4.7356367111206055;220;-2.7160022258758545
230;4716.0048828125;1617.7413330078125;230;0;230;0;230;0;230;0;230;0;230;0;230;-14;230;4716.0048828125;230;1617.7413330078125;230;4.7356367111206055;230;-2.7160022258758545
240;4715.96875;1617.7744140625;240;0;240;0;240;0;240;0;240;0;240;0;240;-4;240;4715.96875;240;1617.7744140625;240;5.1790456771850586;240;-2.7158527374267578
250;4715.96875;1617.7744140625;250;0;250;0;250;0;250;0;250;0;250;0;250;-9;250;4715.96875;250;1617.7744140625;250;5.1790456771850586;250;-2.7158527374267578
260;4715.96875;1617.7744140625;260;0;260;0;260;0;260;0;260;0;260;0;260;-19;260;4715.96875;260;1617.7744140625;260;5.1790456771850586;260;-2.7158527374267578
270;4715.96875;1617.7744140625;270;0;270;0;270;0;270;0;270;0;270;0;270;-6;270;4715.96875;270;1617.7744140625;270;5.1790456771850586;270;-2.7158527374267578
280;4715.9755859375;1617.81884765625;280;0;280;0;280;0;280;0;280;0;280;0;280;-6;280;4715.9755859375;280;1617.81884765625;280;4.4229030609130859;280;-2.7150387763977051
290;4715.9755859375;1617.81884765625;290;0;290;0;290;0;290;0;290;0;290;0;290;-2;290;4715.9755859375;290;1617.81884765625;290;4.4229030609130859;290;-2.7150387763977051
