Name;MeasurementsNew;
File;E:\hawino\Matlab\Reglertuning\tuning1_11.csv;
Starttime of export;133271641358622000;Freitag, 28. April 2023;16:02:15.862
Endtime of export;133271641468502000;Freitag, 28. April 2023;16:02:26.850


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xAdaptKalman, yAdaptKalman X;xAdaptKalman, yAdaptKalman Y;xObs;xRef;xCam;xKalman;xAdaptKalman;yObs;yRef;yCam;yKalman;yAdaptKalman;thetaObs;thetaCam;thetaKalman;thetaRef;thetaAdaptKalman;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;controllerKX;controllerKY;controllerKTheta;newCamDataArrived;bumper;enableGW2Dummy;state (Controller);yBoArrivedAtDestination;enableRobot (1);i1;i2;i3;enableRobot;K[0,0]
20;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;98;0;20;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;2;0;-4;0;4
22;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;108;0;22;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;2;0;7;0;4
24;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;118;0;24;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;2;0;3;0;4
26;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;128;0;26;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;2;0;2;0;4
28;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;138;0;28;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;2;0;0;0;4
30;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;148;0;30;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;1;0;0;4;0;0;-4;0;-4;0;4
32;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;158;0;32;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-4;0;-8;0;4
34;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;168;0;34;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-4;0;0;0;4
36;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;178;0;36;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-4;0;0;0;4
38;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;188;0;38;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-4;0;0;0;4
40;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;198;0;40;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-2;0;1;0;4
42;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;208;0;42;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-2;0;1;0;4
44;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;218;0;44;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-2;0;1;0;4
46;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;228;0;46;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-2;0;1;0;4
48;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;238;0;48;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-2;0;2;0;4
50;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;248;0;50;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-3;0;2;0;4
52;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;258;0;52;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-3;0;2;0;4
