Name;MeasurementsNew;
File;E:\hawino\Matlab\Reglertuning\tuning1_3.csv;
Starttime of export;133271624926263000;Freitag, 28. April 2023;15:34:52.626
Endtime of export;133271625050003000;Freitag, 28. April 2023;15:35:05.000


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xAdaptKalman, yAdaptKalman X;xAdaptKalman, yAdaptKalman Y;xObs;xRef;xCam;xKalman;xAdaptKalman;yObs;yRef;yCam;yKalman;yAdaptKalman;thetaObs;thetaCam;thetaKalman;thetaRef;thetaAdaptKalman;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;controllerKX;controllerKY;controllerKTheta;newCamDataArrived;bumper;enableGW2Dummy;state (Controller);yBoArrivedAtDestination;enableRobot (1);i1;i2;i3;enableRobot;K[0,0]

0;2471.611328125;2940.4130859375;2482.4144641557414;2939.8252952157759;3235;2941;2471.6115257267629;2940.4129648860726;2487.70458984375;2938.80908203125;2482.4144641557414;3235;2471.611328125;2471.6115257267629;2487.70458984375;2939.8252952157759;2941;2940.4130859375;2940.4129648860726;2938.80908203125;-3.0847888688435385;-3.0904383659362793;-3.0848390954961498;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;-4;0;0;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-3;0;2;0;4
2;2471.611328125;2940.4130859375;2482.4144641557414;2939.8252952157759;3235;2941;2471.6115257267629;2940.4129648860726;2487.70458984375;2938.80908203125;2482.4144641557414;3235;2471.611328125;2471.6115257267629;2487.70458984375;2939.8252952157759;2941;2940.4130859375;2940.4129648860726;2938.80908203125;-3.0847888688435385;-3.0904383659362793;-3.0848390954961498;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;6;0;2;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-3;0;2;0;4
4;2471.611328125;2940.4130859375;2482.4144641557414;2939.8252952157759;3235;2941;2471.6115257267629;2940.4129648860726;2487.70458984375;2938.80908203125;2482.4144641557414;3235;2471.611328125;2471.6115257267629;2487.70458984375;2939.8252952157759;2941;2940.4130859375;2940.4129648860726;2938.80908203125;-3.0847888688435385;-3.0904383659362793;-3.0848390954961498;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;16;0;4;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-3;0;-2;0;4
6;2471.611328125;2940.4130859375;2482.4144641557414;2939.8252952157759;3235;2941;2471.6115257267629;2940.4129648860726;2487.70458984375;2938.80908203125;2482.4144641557414;3235;2471.611328125;2471.6115257267629;2487.70458984375;2939.8252952157759;2941;2940.4130859375;2940.4129648860726;2938.80908203125;-3.0847888688435385;-3.0904383659362793;-3.0848390954961498;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;26;0;6;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-3;0;0;0;4
8;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;36;0;8;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;1;0;0;4;0;0;-4;0;0;0;4
10;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;46;0;10;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-4;0;0;0;4
12;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;56;0;12;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-4;0;2;0;4
14;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;66;0;14;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-4;0;2;0;4
16;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;76;0;16;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-4;0;2;0;4
18;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;86;0;18;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-5;0;2;0;4
20;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;96;0;20;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-5;0;-2;0;4
22;2487.5205078125;2939.85888671875;2482.5982817273848;2939.8265045098829;3235;2941;2487.5204138215181;2939.858935149407;2487.70458984375;2938.80908203125;2482.5982817273848;3235;2487.5205078125;2487.5204138215181;2487.70458984375;2939.8265045098829;2941;2939.85888671875;2939.858935149407;2938.80908203125;-3.0841146147830667;-3.0660595893859863;-3.0682018823030814;-6.2831853071795862;-3.1177077293395996;0;0;0;0;0;0;0;0;0;0.01;2;0.2;106;0;22;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;4;0;0;0;4;0;0;-5;0;2;0;4
