Name;MeasurementsNew;
File;E:\hawino\Matlab\Reglertuning\tuning1_6.csv;
Starttime of export;133271630231552000;Freitag, 28. April 2023;15:43:43.155
Endtime of export;133271630349012000;Freitag, 28. April 2023;15:43:54.901


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xAdaptKalman, yAdaptKalman X;xAdaptKalman, yAdaptKalman Y;xObs;xRef;xCam;xKalman;xAdaptKalman;yObs;yRef;yCam;yKalman;yAdaptKalman;thetaObs;thetaCam;thetaKalman;thetaRef;thetaAdaptKalman;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;controllerKX;controllerKY;controllerKTheta;newCamDataArrived;bumper;enableGW2Dummy;state (Controller);yBoArrivedAtDestination;enableRobot (1);i1;i2;i3;enableRobot;K[0,0]

0;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;-2;0;0;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;-3;0;-5;0;4
2;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;8;0;2;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;-3;0;0;0;4
4;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;18;0;4;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;-3;0;0;0;4
6;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;28;0;6;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;-3;0;0;0;4
8;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;38;0;8;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;-3;0;0;0;4
10;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;48;0;10;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;1;0;2;0;4
12;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;58;0;12;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;1;0;2;0;4
14;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;68;0;14;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;1;0;2;0;4
16;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;78;0;16;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;1;0;2;0;4
18;2485.43798828125;2929.0966796875;2490.429804562812;2928.9572272483338;3235;2941;2485.4379733577093;2929.0967073513307;2490.08154296875;2929.655517578125;2490.429804562812;3235;2485.43798828125;2485.4379733577093;2490.08154296875;2928.9572272483338;2941;2929.0966796875;2929.0967073513307;2929.655517578125;-3.1549815559259957;-3.1456628481494349;-3.1471415180436186;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;88;0;18;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;0;0;0;4;0;0;1;0;2;0;4
20;2501.994140625;2927.83984375;2490.8461206610509;2928.9170014423939;3235;2941;2501.9940547418055;2927.8398980542479;2490.08154296875;2929.655517578125;2490.8461206610509;3235;2501.994140625;2501.9940547418055;2490.08154296875;2928.9170014423939;2941;2927.83984375;2927.8398980542479;2929.655517578125;-3.1552135777921086;-3.161426607762472;-3.1639566108726118;0;-3.1665175596820276;0;0;0;0;0;0;0;0;0;0.01;2;0.2;98;0;20;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;2;1;0;0;4;0;0;1;3;0;0;4
