SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutDebugCase
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

240;0;240;0;240;0;240;-0.056376811116933823;240;1617.825927734375;240;3776.122314453125;240;1617.825927734375;240;3776.122314453125;240;-0.056376811116933823;240;1
250;0;250;0;250;0;250;-0.056376811116933823;250;1617.825927734375;250;3776.122314453125;250;1617.825927734375;250;3776.122314453125;250;-0.056376811116933823;250;1
260;0;260;0;260;0;260;-0.056376811116933823;260;1617.825927734375;260;3776.122314453125;260;1617.825927734375;260;3776.122314453125;260;-0.056376811116933823;260;1
270;0;270;0;270;0;270;-0.055980067700147629;270;1617.81689453125;270;3776.119873046875;270;1617.825927734375;270;3776.122314453125;270;-0.056376811116933823;270;1
280;0;280;0;280;0;280;-0.055980067700147629;280;1617.81689453125;280;3776.119873046875;280;1617.81689453125;280;3776.119873046875;280;-0.055980067700147629;280;1
290;0;290;0;290;0;290;-0.055980067700147629;290;1617.81689453125;290;3776.119873046875;290;1617.81689453125;290;3776.119873046875;290;-0.055980067700147629;290;1
300;0;300;0;300;0;300;-0.055980067700147629;300;1617.81689453125;300;3776.119873046875;300;1617.81689453125;300;3776.119873046875;300;-0.055980067700147629;300;1
310;0;310;0;310;0;310;-0.055980067700147629;310;1617.81689453125;310;3776.119873046875;310;1617.81689453125;310;3776.119873046875;310;-0.055980067700147629;310;1
320;0;320;0;320;0;320;-0.056841474026441574;320;1617.876220703125;320;3776.0556640625;320;1617.81689453125;320;3776.119873046875;320;-0.055980067700147629;320;1
330;0;330;0;330;0;330;-0.056841474026441574;330;1617.876220703125;330;3776.0556640625;330;1617.876220703125;330;3776.0556640625;330;-0.056841474026441574;330;1
340;0;340;0;340;0;340;-0.056841474026441574;340;1617.876220703125;340;3776.0556640625;340;1617.876220703125;340;3776.0556640625;340;-0.056841474026441574;340;1
350;0;350;0;350;0;350;-0.056841474026441574;350;1617.876220703125;350;3776.0556640625;350;1617.876220703125;350;3776.0556640625;350;-0.056841474026441574;350;1
360;0;360;0;360;0;360;-0.056841474026441574;360;1617.876220703125;360;3776.0556640625;360;1617.876220703125;360;3776.0556640625;360;-0.056841474026441574;360;1
370;0;370;0;370;0;370;-0.056841474026441574;370;1617.876220703125;370;3776.0556640625;370;1617.876220703125;370;3776.0556640625;370;-0.056841474026441574;370;1
380;0;380;0;380;0;380;-0.056744597852230072;380;1617.80810546875;380;3776.0537109375;380;1617.876220703125;380;3776.0556640625;380;-0.056841474026441574;380;1
390;0;390;0;390;0;390;-0.056744597852230072;390;1617.80810546875;390;3776.0537109375;390;1617.80810546875;390;3776.0537109375;390;-0.056744597852230072;390;1
400;0;400;0;400;0;400;-0.056744597852230072;400;1617.80810546875;400;3776.0537109375;400;1617.80810546875;400;3776.0537109375;400;-0.056744597852230072;400;1
410;0;410;0;410;0;410;-0.056744597852230072;410;1617.80810546875;410;3776.0537109375;410;1617.80810546875;410;3776.0537109375;410;-0.056744597852230072;410;1
420;0;420;0;420;0;420;-0.056744597852230072;420;1617.80810546875;420;3776.0537109375;420;1617.80810546875;420;3776.0537109375;420;-0.056744597852230072;420;1
430;0;430;0;430;0;430;-0.055969152599573135;430;1617.8104248046875;430;3776.13134765625;430;1617.80810546875;430;3776.0537109375;430;-0.056744597852230072;430;1
440;0;440;0;440;0;440;-0.055969152599573135;440;1617.8104248046875;440;3776.13134765625;440;1617.8104248046875;440;3776.13134765625;440;-0.055969152599573135;440;1
450;0;450;0;450;0;450;-0.055969152599573135;450;1617.8104248046875;450;3776.13134765625;450;1617.8104248046875;450;3776.13134765625;450;-0.055969152599573135;450;1
460;0;460;0;460;0;460;-0.055969152599573135;460;1617.8104248046875;460;3776.13134765625;460;1617.8104248046875;460;3776.13134765625;460;-0.055969152599573135;460;1
470;0;470;0;470;0;470;-0.055969152599573135;470;1617.8104248046875;470;3776.13134765625;470;1617.8104248046875;470;3776.13134765625;470;-0.055969152599573135;470;1
480;0;480;0;480;0;480;-0.055969152599573135;480;1617.8104248046875;480;3776.13134765625;480;1617.8104248046875;480;3776.13134765625;480;-0.055969152599573135;480;1
490;0;490;0;490;0;490;-0.057241510599851608;490;1617.8104248046875;490;3776.064208984375;490;1617.8104248046875;490;3776.13134765625;490;-0.055969152599573135;490;1
500;0;500;0;500;0;500;-0.057241510599851608;500;1617.8104248046875;500;3776.064208984375;500;1617.8104248046875;500;3776.064208984375;500;-0.057241510599851608;500;1
510;0;510;0;510;0;510;-0.057241510599851608;510;1617.8104248046875;510;3776.064208984375;510;1617.8104248046875;510;3776.064208984375;510;-0.057241510599851608;510;1
520;0;520;0;520;0;520;-0.057241510599851608;520;1617.8104248046875;520;3776.064208984375;520;1617.8104248046875;520;3776.064208984375;520;-0.057241510599851608;520;1
530;0;530;0;530;0;530;-0.057241510599851608;530;1617.8104248046875;530;3776.064208984375;530;1617.8104248046875;530;3776.064208984375;530;-0.057241510599851608;530;1
540;0;540;0;540;0;540;-0.055768545717000961;540;1617.877197265625;540;3776.130126953125;540;1617.8104248046875;540;3776.064208984375;540;-0.057241510599851608;540;1
550;0;550;0;550;0;550;-0.055768545717000961;550;1617.877197265625;550;3776.130126953125;550;1617.877197265625;550;3776.130126953125;550;-0.055768545717000961;550;1
560;0;560;0;560;0;560;-0.055768545717000961;560;1617.877197265625;560;3776.130126953125;560;1617.877197265625;560;3776.130126953125;560;-0.055768545717000961;560;1
570;0;570;0;570;0;570;-0.055768545717000961;570;1617.877197265625;570;3776.130126953125;570;1617.877197265625;570;3776.130126953125;570;-0.055768545717000961;570;1
580;0;580;0;580;0;580;-0.055768545717000961;580;1617.877197265625;580;3776.130126953125;580;1617.877197265625;580;3776.130126953125;580;-0.055768545717000961;580;1
590;0;590;0;590;0;590;-0.055768545717000961;590;1617.877197265625;590;3776.130126953125;590;1617.877197265625;590;3776.130126953125;590;-0.055768545717000961;590;1
600;0;600;0;600;0;600;-0.056898351758718491;600;1617.7486572265625;600;3776.125;600;1617.877197265625;600;3776.130126953125;600;-0.055768545717000961;600;1
610;0;610;0;610;0;610;-0.056898351758718491;610;1617.7486572265625;610;3776.125;610;1617.7486572265625;610;3776.125;610;-0.056898351758718491;610;1
620;0;620;0;620;0;620;-0.056898351758718491;620;1617.7486572265625;620;3776.125;620;1617.7486572265625;620;3776.125;620;-0.056898351758718491;620;1
630;0;630;0;630;0;630;-0.056898351758718491;630;1617.7486572265625;630;3776.125;630;1617.7486572265625;630;3776.125;630;-0.056898351758718491;630;1
640;0;640;0;640;0;640;-0.056898351758718491;640;1617.7486572265625;640;3776.125;640;1617.7486572265625;640;3776.125;640;-0.056898351758718491;640;1
650;0;650;0;650;0;650;-0.056898351758718491;650;1617.7486572265625;650;3776.125;650;1617.7486572265625;650;3776.125;650;-0.056898351758718491;650;1
660;0;660;0;660;0;660;-0.056632962077856064;660;1617.8125;660;3775.907958984375;660;1617.7486572265625;660;3776.125;660;-0.056898351758718491;660;1
670;0;670;0;670;0;670;-0.056632962077856064;670;1617.8125;670;3775.907958984375;670;1617.8125;670;3775.907958984375;670;-0.056632962077856064;670;1
680;0;680;0;680;0;680;-0.056632962077856064;680;1617.8125;680;3775.907958984375;680;1617.8125;680;3775.907958984375;680;-0.056632962077856064;680;1
690;0;690;0;690;0;690;-0.056632962077856064;690;1617.8125;690;3775.907958984375;690;1617.8125;690;3775.907958984375;690;-0.056632962077856064;690;1
700;0;700;0;700;0;700;-0.056632962077856064;700;1617.8125;700;3775.907958984375;700;1617.8125;700;3775.907958984375;700;-0.056632962077856064;700;1
710;0;710;0;710;0;710;-0.05566493421792984;710;1617.82373046875;710;3775.975341796875;710;1617.8125;710;3775.907958984375;710;-0.056632962077856064;710;1
720;0;720;0;720;0;720;-0.05566493421792984;720;1617.82373046875;720;3775.975341796875;720;1617.82373046875;720;3775.975341796875;720;-0.05566493421792984;720;1
730;0;730;0;730;0;730;-0.05566493421792984;730;1617.82373046875;730;3775.975341796875;730;1617.82373046875;730;3775.975341796875;730;-0.05566493421792984;730;1
740;0;740;0;740;0;740;-0.05566493421792984;740;1617.82373046875;740;3775.975341796875;740;1617.82373046875;740;3775.975341796875;740;-0.05566493421792984;740;1
