SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[3];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutDebugCase
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

20400;-7.9255673943333322;20400;89.892888302474589;20400;-0.058707906624691351;20400;0.69935876131057739;20400;-0.057708926498889923;20400;1617.7071533203125;20400;3776.07958984375;20400;1617.821088266247;20400;3791.7004977466768;20400;-0.059526977800815867;20400;2
20410;-1.0226538573333339;20410;108.93423902664408;20410;-0.007575213758024695;20410;0.20164065062999725;20410;-0.055862881243228912;20410;1617.816650390625;20410;3776.278076171875;20410;1617.7960887767963;20410;3792.5504870110503;20410;-0.059640606007186237;20410;2
20420;11.760519359333335;20420;124.87583498176274;20420;0.087114958217283961;20420;0.20164065062999725;20420;-0.055862881243228912;20420;1617.816650390625;20420;3776.278076171875;20420;1617.8339800839165;20420;3789.0897696292081;20420;-0.05715066758209314;20420;1
20430;14.317154002666664;20430;110.70552746610171;20430;0.10605299261234566;20430;0.20164065062999725;20430;-0.055862881243228912;20430;1617.816650390625;20430;3776.278076171875;20430;1617.8155019162207;20430;3790.179003296812;20430;-0.057226419719673377;20430;2
20440;1.2783173216666672;20440;93.435465181389844;20440;0.0094690171975308681;20440;0.20164065062999725;20440;-0.055862881243228912;20440;1617.816650390625;20440;3776.278076171875;20440;1618.0413091259306;20440;3791.4127940010412;20440;-0.056355270137500524;20440;2
20450;-7.6699039299999994;20450;87.678777753152545;20450;-0.056814103185185177;20450;0.20164065062999725;20450;-0.055862881243228912;20450;1617.816650390625;20450;3776.278076171875;20450;1618.3008628435964;20450;3792.4984741282769;20450;-0.055294740211377064;20450;2
20460;-1.0226538573333339;20460;104.50601792800002;20460;-0.007575213758024695;20460;0.20164065062999725;20460;-0.055862881243228912;20460;1617.816650390625;20460;3776.278076171875;20460;1618.322492731787;20460;3793.4326658499385;20460;-0.05520005003940176;20460;2
20470;12.527509752333335;20470;122.66172443244069;20470;0.092796368535802476;20470;0.880517303943634;20470;-0.057832896709442139;20470;1617.7462158203125;20470;3776.11669921875;20470;1618.1961303283824;20470;3794.303683698472;20470;-0.055768191071253609;20470;2
20480;18.152105967666667;20480;119.11914755352544;20480;0.13446004420493826;20480;0.880517303943634;20480;-0.057832896709442139;20480;1617.7462158203125;20480;3776.11669921875;20480;1617.9305968975907;20480;3789.7653890132733;20480;-0.057378383883960604;20480;1
20490;5.3689327510000027;20490;97.8636862800339;20490;0.039769872229629646;20490;0.880517303943634;20490;-0.057832896709442139;20490;1617.7462158203125;20490;3776.11669921875;20490;1618.1689953340167;20490;3790.975120346935;20490;-0.05645042019860258;20490;2
20500;-8.181230858666666;20500;82.364912434779654;20500;-0.060601710064197525;20500;0.880517303943634;20500;-0.057832896709442139;20500;1617.7462158203125;20500;3776.11669921875;20500;1618.5085634283782;20500;3792.1312261101702;20500;-0.055105819756553209;20500;2
20510;-6.902913536999999;20510;94.321109401118662;20510;-0.051132692866666656;20510;0.880517303943634;20510;-0.057832896709442139;20510;1617.7462158203125;20510;3776.11669921875;20510;1618.6011203069622;20510;3793.1069544931474;20510;-0.0547081210342569;20510;2
20520;9.970875109;20520;120.89043599298307;20520;0.073858334140740736;20520;0.880517303943634;20520;-0.057832896709442139;20520;1617.7462158203125;20520;3776.11669921875;20520;1618.4695741843893;20520;3793.9241366952979;20520;-0.055314138134898883;20520;2
20530;19.430423289333337;20530;129.30405608040678;20530;0.14392906140246917;20530;0.79133462905883789;20530;-0.057320158928632736;20530;1617.7628173828125;20530;3776.010498046875;20530;1618.3524273597491;20530;3794.8625869128759;20530;-0.05582546506356556;20530;2
20540;6.9029135370000034;20540;101.40626315894916;20540;0.05113269286666669;20540;0.79133462905883789;20540;-0.057320158928632736;20540;1617.7628173828125;20540;3776.010498046875;20540;1618.5604362449908;20540;3790.307532851426;20540;-0.054422639666188266;20540;1
20550;-11.760519359333332;20550;74.394114457220354;20550;-0.087114958217283947;20550;0.79133462905883789;20550;-0.057320158928632736;20550;1617.7628173828125;20550;3776.010498046875;20550;1618.9381956181369;20550;3791.5593339070274;20550;-0.052983349052163564;20550;2
20560;-11.504855895;20560;84.5790229841017;20560;-0.08522115477777778;20560;0.79133462905883789;20560;-0.057320158928632736;20560;1617.7628173828125;20560;3776.010498046875;20560;1619.0589636942141;20560;3792.5685430598378;20560;-0.052472022123496886;20560;2
20570;9.7152116446666668;20570;120.44761388311865;20570;0.071964530701234569;20570;0.13037000596523285;20570;-0.0553765669465065;20570;1617.75146484375;20570;3776.046142578125;20570;1618.8770780114926;20570;3793.2994308806205;20570;-0.05334317170566974;20570;2
20580;24.543692576;20580;139.04614249742375;20580;0.18180513019259262;20580;0.13037000596523285;20580;-0.0553765669465065;20580;1617.75146484375;20580;3776.046142578125;20580;1618.6286359362841;20580;3790.1022598860091;20580;-0.052346481443296622;20580;1
20590;12.527509752333335;20590;110.26270535623729;20590;0.092796368535802476;20590;0.13037000596523285;20590;-0.0553765669465065;20590;1617.75146484375;20590;3776.046142578125;20590;1618.8121413531144;20590;3791.2966329704086;20590;-0.051626836136284271;20590;2
20600;-15.595471324333333;20600;71.2943596881695;20600;-0.11552200980987655;20600;0.13037000596523285;20600;-0.0553765669465065;20600;1617.75146484375;20600;3776.046142578125;20600;1619.3049359338759;20600;3792.6198018031887;20600;-0.049808784834358355;20600;2
20610;-20.708740611;20610;71.294359688169507;20610;-0.15339807860000002;20610;0.13037000596523285;20610;-0.0553765669465065;20610;1617.75146484375;20610;3776.046142578125;20610;1619.5318450368723;20610;3793.7060764131675;20610;-0.048880821149000331;20610;2
20620;4.6019423580000023;20620;114.24810434501697;20620;0.034088461911111131;20620;0.13037000596523285;20620;-0.0553765669465065;20620;1617.75146484375;20620;3776.046142578125;20620;1619.2947521898484;20620;3794.3962919061896;20620;-0.050036041247099095;20620;2
20630;18.663432896333333;20630;122.66172443244069;20630;0.13824765108395062;20630;0.69386011362075806;20630;-0.05728553980588913;20630;1617.703857421875;20630;3776.06689453125;20630;1618.9811607188537;20630;3795.0692214384762;20630;-0.0515700220330991;20630;2
20640;-7.41424046566667;20640;74.836936567084763;20640;-0.054920299745679038;20640;0.69386011362075806;20640;-0.05728553980588913;20640;1617.703857421875;20640;3776.06689453125;20640;1618.30383885517;20640;3789.9285427555187;20640;-0.055922001329444693;20640;1
20650;-36.304211935333335;20650;38.968345668067805;20650;-0.26892008840987652;20650;0.69386011362075806;20650;-0.05728553980588913;20650;1617.703857421875;20650;3776.06689453125;20650;1618.6577298047187;20650;3791.1177372024654;20650;-0.05453952481860519;20650;2
20660;-23.00971179;20660;63.76638382047458;20660;-0.17044230955555556;20660;0.69386011362075806;20660;-0.05728553980588913;20660;1617.703857421875;20660;3776.06689453125;20660;1618.5426191761551;20660;3791.8609083448241;20660;-0.055088727816061972;20660;2
20670;-10.737865502;20670;80.593623995322034;20670;-0.079539744459259265;20670;0.69386011362075806;20670;-0.05728553980588913;20670;1617.703857421875;20670;3776.06689453125;20670;1618.089090188337;20670;3792.1401291070247;20670;-0.057777928700160741;20670;2
20680;-18.663432896333333;20680;56.23840795277966;20680;-0.13824765108395062;20680;0.63658362627029419;20680;-0.057367008179426193;20680;1617.762939453125;20680;3776.090087890625;20680;1617.7541677800305;20680;3792.7295244197257;20680;-0.059482351795716287;20680;2
20690;-17.385115574666667;20690;62.88073960074577;20690;-0.12877863388641975;20690;0.63658362627029419;20690;-0.057367008179426193;20690;1617.762939453125;20690;3776.090087890625;20690;1617.2319075285868;20690;3788.366161319288;20690;-0.061817446262265707;20690;1
20700;-2.5566346433333345;20700;96.535219950440691;20700;-0.018938034395061736;20700;0.63658362627029419;20700;-0.057367008179426193;20700;1617.762939453125;20700;3776.090087890625;20700;1616.9695530219858;20700;3788.8974600474248;20700;-0.06319992277310521;20700;2
20710;8.9482212516666664;20710;119.11914755352544;20710;0.06628312038271604;20710;0.63658362627029419;20710;-0.057367008179426193;20710;1617.762939453125;20710;3776.090087890625;20710;1616.7163881198694;20710;3789.4987341097;20710;-0.06448770911196941;20710;2
20720;1.7896442503333343;20720;102.29190737867799;20720;0.013256624076543216;20720;0.63658362627029419;20720;-0.057367008179426193;20720;1617.762939453125;20720;3776.090087890625;20720;1616.6725455775925;20720;3790.4634290555996;20720;-0.064677089455920017;20720;2
20730;-12.271846287999999;20730;69.080249138847464;20730;-0.0909025650962963;20730;0.85790044069290161;20730;-0.057495016604661942;20730;1617.753173828125;20730;3775.946533203125;20730;1616.8407293800142;20730;3791.6460779495437;20730;-0.064014258252092865;20730;2
20740;-15.595471324333332;20740;70.40871546844069;20740;-0.11552200980987654;20740;0.85790044069290161;20740;-0.057495016604661942;20740;1617.753173828125;20740;3775.946533203125;20740;1616.4338593279269;20740;3787.4345482804574;20740;-0.065335362844217482;20740;1
20750;3.3236250363333348;20750;106.72012847732204;20750;0.024619444713580258;20750;0.85790044069290161;20750;-0.057495016604661942;20750;1617.753173828125;20750;3775.946533203125;20750;1616.2489382731812;20750;3788.11135852473;20750;-0.06624438849518044;20750;2
20760;9.970875109;20760;119.11914755352544;20760;0.073858334140740736;20760;0.85790044069290161;20760;-0.057495016604661942;20760;1617.753173828125;20760;3775.946533203125;20760;1616.0128662660445;20760;3788.7927766059552;20760;-0.0673996085932792;20760;2
20770;-8.181230858666666;20770;77.93669133613561;20770;-0.060601710064197525;20770;0.85790044069290161;20770;-0.057495016604661942;20770;1617.753173828125;20770;3775.946533203125;20770;1616.0723636933199;20770;3789.8588363072417;20770;-0.0671534141461434;20770;2
20780;-24.543692575999998;20780;49.596076304813565;20780;-0.18180513019259259;20780;0.85790044069290161;20780;-0.057495016604661942;20780;1617.753173828125;20780;3775.946533203125;20780;1616.2597000608303;20780;3791.0394226242215;20780;-0.06641483080473598;20780;2
20790;-13.294500145333332;20790;75.279758676949172;20790;-0.098477778854320991;20790;0.77513569593429565;20790;-0.056575767695903778;20790;1617.8414306640625;20790;3776.1611328125;20790;1616.1308358736669;20790;3791.8124039052013;20790;-0.067020847905377962;20790;2
20800;-4.3462788936666685;20800;99.634974719491524;20800;-0.032194658471604957;20800;0.77513569593429565;20800;-0.056575767695903778;20800;1617.8414306640625;20800;3776.1611328125;20800;1615.8880928680217;20800;3786.9483799138839;20800;-0.0673325712322988;20800;1
20810;-13.550163609666667;20810;78.379513446;20810;-0.10037158229382716;20810;0.77513569593429565;20810;-0.056575767695903778;20810;1617.8414306640625;20810;3776.1611328125;20810;1615.6817779186879;20810;3787.6844592042726;20810;-0.068317349020842022;20810;2
20820;-11.504855895000004;20820;66.866138589525434;20820;-0.085221154777777808;20820;0.77513569593429565;20820;-0.056575767695903778;20820;1617.8414306640625;20820;3776.1611328125;20820;1615.6062660534983;20820;3788.6788936118496;20820;-0.068639295605558065;20820;2
20830;-0.51132692866666218;20830;88.564421972881377;20830;-0.0037876068790123124;20830;0.77513569593429565;20830;-0.056575767695903778;20830;1617.8414306640625;20830;3776.1611328125;20830;1615.3929076669006;20830;3789.445166216773;20830;-0.069643011428496326;20830;2
20840;11.504855895;20840;121.77608021271188;20840;0.08522115477777778;20840;0.77513569593429565;20840;-0.056575767695903778;20840;1617.8414306640625;20840;3776.1611328125;20840;1615.2213614889708;20840;3790.1016082391493;20840;-0.070495222976274113;20840;2
20850;11.504855895;20850;128.8612339705424;20850;0.08522115477777778;20850;0.92888319492340088;20850;-0.056652359664440155;20850;1617.7706298828125;20850;3775.979248046875;20850;1615.212893792243;20850;3790.9872267391675;20850;-0.070533099045064246;20850;2
20860;0.76699039300000038;20860;96.9780420603051;20860;0.005681410318518521;20860;0.92888319492340088;20860;-0.056652359664440155;20860;1617.7706298828125;20860;3775.979248046875;20860;1616.8792663561346;20860;3788.2481505408423;20860;-0.061708814847921623;20860;1
20870;-8.4368943229999971;20870;75.722580786813566;20870;-0.062495513503703685;20870;0.92888319492340088;20870;-0.056652359664440155;20870;1617.7706298828125;20870;3775.979248046875;20870;1617.103581542327;20870;3789.5222936372807;20870;-0.060856603300143836;20870;2
20880;0.511326928666667;20880;91.2213546320678;20880;0.0037876068790123475;20880;0.92888319492340088;20880;-0.056652359664440155;20880;1617.7706298828125;20880;3775.979248046875;20880;1617.1167610133186;20880;3790.4920148307974;20880;-0.060799789196958637;20880;2
20890;17.896442503333336;20890;133.73227717905087;20890;0.13256624076543214;20890;0.92888319492340088;20890;-0.056652359664440155;20890;1617.7706298828125;20890;3775.979248046875;20890;1616.9852643591523;20890;3791.2424931267037;20890;-0.061424744331995684;20890;2
20900;21.987057932666662;20900;147.90258469471186;20900;0.16286709579753084;20900;0.55822479724884033;20900;-0.056951854377985;20900;1617.7769775390625;20900;3776.1513671875;20900;1616.9938326898036;20900;3792.1546807627324;20900;-0.061386868263205552;20900;2
20910;6.64725007266667;20910;109.8198832463729;20910;0.049238889427160516;20910;0.55822479724884033;20910;-0.056951854377985;20910;1617.7769775390625;20910;3776.1513671875;20910;1617.5161964851079;20910;3788.9992048603467;20910;-0.059338046711762737;20910;1
20920;-9.715211644666665;20920;75.279758676949172;20920;-0.071964530701234555;20920;0.55822479724884033;20920;-0.056951854377985;20920;1617.7769775390625;20920;3776.1513671875;20920;1617.97297851243;20920;3790.4230063588384;20920;-0.057709375753787429;20920;2
20930;-2.3009711790000011;20930;83.693378764372909;20930;-0.017044230955555566;20930;0.55822479724884033;20930;-0.056951854377985;20930;1617.7769775390625;20930;3776.1513671875;20930;1618.0934226925792;20930;3791.5166024764458;20930;-0.057216986859515817;20930;2
20940;17.640779039000005;20940;134.17509928891528;20940;0.13067243732592596;20940;0.55822479724884033;20940;-0.056951854377985;20940;1617.7769775390625;20940;3776.1513671875;20940;1617.9423940615259;20940;3792.2604661017012;20940;-0.057936632166528168;20940;2
20950;29.145634934000004;20950;159.41595955118646;20950;0.21589359210370374;20950;0.54241931438446045;20950;-0.055918935686349869;20950;1617.8460693359375;20950;3776.049072265625;20950;1617.9051234897736;20950;3793.096886161371;20950;-0.058107074476083737;20950;2
20960;13.805827074000002;20960;126.64712342122037;20960;0.10226538573333335;20960;0.54241931438446045;20960;-0.055918935686349869;20960;1617.8460693359375;20960;3776.049072265625;20960;1618.878369244653;20960;3790.1744252376293;20960;-0.052775221976769593;20960;1
20970;-9.203884716;20970;77.93669133613561;20970;-0.068176923822222221;20970;0.54241931438446045;20970;-0.055918935686349869;20970;1617.8460693359375;20970;3776.049072265625;20970;1619.5045609840313;20970;3791.6691411053002;20970;-0.050616286055732568;20970;2
20980;-10.993528966333331;20980;71.2943596881695;20980;-0.081433547898765418;20980;0.54241931438446045;20980;-0.055918935686349869;20980;1617.8460693359375;20980;3776.049072265625;20980;1619.7711884986939;20980;3792.9149016126335;20980;-0.04959363219839924;20980;2
20990;12.271846288;20990;120.44761388311865;20990;0.090902565096296309;20990;0.54241931438446045;20990;-0.055918935686349869;20990;1617.8460693359375;20990;3776.049072265625;20990;1619.6262697856157;20990;3793.6861878770183;20990;-0.050275401436621459;20990;2
21000;25.566346433333337;21000;144.36000781579662;21000;0.18938034395061731;21000;0.54241931438446045;21000;-0.055918935686349869;21000;1617.8460693359375;21000;3776.049072265625;21000;1619.4587054277638;21000;3794.3878263353608;21000;-0.051089736915609113;21000;2
21010;-2.3009711790000011;21010;98.749330499762735;21010;-0.017044230955555566;21010;0.5414661169052124;21010;-0.056235387921333313;21010;1617.75439453125;21010;3776.0751953125;21010;1619.6902564533307;21010;3795.576189374463;21010;-0.050180711264646155;21010;2
21020;-30.935279184333336;21020;38.525523558203389;21020;-0.22915021618024692;21020;0.5414661169052124;21020;-0.056235387921333313;21020;1617.75439453125;21020;3776.0751953125;21020;1620.0590255121235;21020;3791.2162276378349;21020;-0.04847079381935801;21020;1
21030;-17.385115574666671;21030;57.566874282372893;21030;-0.12877863388641977;21030;0.5414661169052124;21030;-0.056235387921333313;21030;1617.75439453125;21030;3776.0751953125;21030;1620.0191888934312;21030;3792.2031853461804;21030;-0.048641236128913579;21030;2
21040;17.385115574666667;21040;119.56196966338983;21040;0.12877863388641975;21040;0.5414661169052124;21040;-0.056235387921333313;21040;1617.75439453125;21040;3776.0751953125;21040;1619.6304119127708;21040;3792.5081004256258;21040;-0.05093273829071604;21040;2
21050;20.964404075333334;21050;138.16049827769493;21050;0.15529188203950617;21050;0.5414661169052124;21050;-0.056235387921333313;21050;1617.75439453125;21050;3776.0751953125;21050;1619.3840712351753;21050;3793.0566758501395;21050;-0.052220524629580239;21050;2
21060;-15.595471324333333;21060;75.722580786813566;21060;-0.11552200980987655;21060;0.78889364004135132;21060;-0.057017363607883453;21060;1617.75732421875;21060;3776.063232421875;21060;1619.7100278655159;21060;3794.2200687151985;21060;-0.05093273829071604;21060;2
21070;-32.213596506;21070;40.739634107525426;21070;-0.2386192333777778;21070;0.78889364004135132;21070;-0.057017363607883453;21070;1617.75732421875;21070;3776.063232421875;21070;1619.325312446312;21070;3790.0586624615275;21070;-0.053021438350525446;21070;1
21080;0.25566346433333348;21080;96.092397840576268;21080;0.0018938034395061738;21080;0.78889364004135132;21080;-0.057017363607883453;21080;1617.75732421875;21080;3776.063232421875;21080;1619.083115399852;21080;3790.7928650135323;21080;-0.05417665844862421;21080;2
21090;17.385115574666671;21090;122.21890232257628;21090;0.12877863388641977;21090;0.78889364004135132;21090;-0.057017363607883453;21090;1617.75732421875;21090;3776.063232421875;21090;1618.6738143815896;21090;3791.1125774392463;21090;-0.056562850782401974;21090;2
21100;-13.038836681;21100;79.265157665728822;21100;-0.09658397541481481;21100;0.78889364004135132;21100;-0.057017363607883453;21100;1617.75732421875;21100;3776.063232421875;21100;1618.6781908116959;21100;3792.0734948527192;21100;-0.056543912748006908;21100;2
21110;-31.957933041666667;21110;45.6106773160339;21110;-0.23672542993827161;21110;0.044402226805686951;21110;-0.056358061730861664;21110;1617.7176513671875;21110;3776.059326171875;21110;1619.0075595542971;21110;3793.2632370366587;21110;-0.055256126409142708;21110;2
21120;-13.805827074;21120;74.394114457220354;21120;-0.10226538573333333;21120;0.044402226805686951;21120;-0.056358061730861664;21120;1617.7176513671875;21120;3776.059326171875;21120;1617.7074123490602;21120;3788.4076284058074;21120;-0.059160890821330775;21120;1
21130;19.430423289333334;21130;124.87583498176272;21130;0.14392906140246914;21130;0.044402226805686951;21130;-0.056358061730861664;21130;1617.7176513671875;21130;3776.059326171875;21130;1617.2897792680462;21130;3788.7760669306595;21130;-0.0615281451207135;21130;2
21140;26.844663755000003;21140;140.37460882701697;21140;0.19884936114814819;21140;0.044402226805686951;21140;-0.056358061730861664;21140;1617.7176513671875;21140;3776.059326171875;21140;1617.0764954011486;21140;3789.5020273323539;21140;-0.062550798978046829;21140;2
21150;0;21150;102.73472948854239;21150;0;21150;0.044402226805686951;21150;-0.056358061730861664;21150;1617.7176513671875;21150;3776.059326171875;21150;1617.4479032595584;21150;3790.710004051447;21150;-0.061111508364022127;21150;2
21160;-24.799356040333333;21160;59.78098483169493;21160;-0.18369893363209874;21160;0.044402226805686951;21160;-0.056358061730861664;21160;1617.7176513671875;21160;3776.059326171875;21160;1617.988358132247;21160;3792.0330593065792;21160;-0.059123014752540642;21160;2
21170;-14.317154002666667;21170;74.394114457220354;21170;-0.10605299261234567;21170;1.2117050886154175;21170;-0.056401219218969345;21170;1617.8858642578125;21170;3776.08203125;21170;1617.988358132247;21170;3793.0604066014648;21170;-0.059123014752540642;21170;2
21180;3.5792885006666686;21180;96.535219950440691;21180;0.026513248153086432;21180;1.2117050886154175;21180;-0.056401219218969345;21180;1617.8858642578125;21180;3776.08203125;21180;1617.7902445220304;21180;3788.3027409866677;21180;-0.059847941478870542;21180;1
21190;-4.6019423579999978;21190;85.021845093966121;21190;-0.03408846191111109;21190;1.2117050886154175;21190;-0.056401219218969345;21190;1617.8858642578125;21190;3776.08203125;21190;1617.5691279978241;21190;3789.0273470859961;21190;-0.060908471404994;21190;2
21200;-5.8802596796666649;21200;88.121599863016968;21200;-0.04355747910864196;21200;1.2117050886154175;21200;-0.056401219218969345;21200;1617.8858642578125;21200;3776.08203125;21200;1617.6304999271147;21200;3789.9914111326239;21200;-0.06064333892346313;21200;2
21210;0;21210;102.73472948854239;21210;0;21210;1.2117050886154175;21210;-0.056401219218969345;21210;1617.8858642578125;21210;3776.08203125;21210;1617.5555302122416;21210;3790.8395672170309;21210;-0.06098422354257424;21210;2
21220;9.7152116446666668;21220;116.01939278447459;21220;0.071964530701234569;21220;0.18626461923122406;21220;-0.056951407343149185;21220;1617.744873046875;21220;3776.12890625;21220;1617.4584119769779;21220;3791.7173869194817;21220;-0.061419798333660652;21220;2
21230;10.737865502;21230;108.93423902664408;21230;0.079539744459259265;21230;0.18626461923122406;21230;-0.056951407343149185;21230;1617.744873046875;21230;3776.12890625;21230;1617.4684908674692;21230;3788.6931719316467;21230;-0.059981492846359036;21230;1
21240;2.8122981076666682;21240;98.749330499762735;21240;0.02083183783456791;21240;0.18626461923122406;21240;-0.056951407343149185;21240;1617.744873046875;21240;3776.12890625;21240;1617.648812285694;21240;3789.8433774220125;21240;-0.059261847539346685;21240;2
21250;-2.5566346433333345;21250;97.4208641701695;21250;-0.018938034395061736;21250;0.18626461923122406;21250;-0.056951407343149185;21250;1617.744873046875;21250;3776.12890625;21250;1617.8424061326343;21250;3790.9207438597728;21250;-0.0584664500947541;21250;2
21260;2.5566346433333345;21260;113.36246012528815;21260;0.018938034395061736;21260;0.18626461923122406;21260;-0.056951407343149185;21260;1617.744873046875;21260;3776.12890625;21260;1617.8910928242826;21260;3791.9074370925132;21260;-0.058258131716408423;21260;2
21270;12.016182823666668;21270;121.77608021271188;21270;0.089008761656790128;21270;0.18626461923122406;21270;-0.056951407343149185;21270;1617.744873046875;21270;3776.12890625;21270;1617.8470825684242;21270;3792.88098689248;21270;-0.05844751206035903;21270;2
21280;13.805827074000002;21280;117.79068122393223;21280;0.10226538573333335;21280;0.87085717916488647;21280;-0.055914312601089478;21280;1617.9498291015625;21280;3776.02880859375;21280;1617.8941116687493;21280;3794.0139240656536;21280;-0.058258131716408423;21280;2
21290;7.9255673943333376;21290;103.17755159840678;21290;0.058707906624691386;21290;0.87085717916488647;21290;-0.055914312601089478;21290;1617.9498291015625;21290;3776.02880859375;21290;1618.4589852493189;21290;3789.886666440143;21290;-0.054721216434200581;21290;1
21300;-0.511326928666667;21300;97.4208641701695;21300;-0.0037876068790123475;21300;0.87085717916488647;21300;-0.055914312601089478;21300;1617.9498291015625;21300;3776.02880859375;21300;1618.71657146775;21300;3791.0443252346563;21300;-0.053698562576867254;21300;2
21310;1.7896442503333343;21310;107.60577269705087;21310;0.013256624076543216;21310;0.87085717916488647;21310;-0.055914312601089478;21310;1617.9498291015625;21310;3776.02880859375;21310;1618.8562291899818;21310;3792.0696729307365;21310;-0.053111483510620339;21310;2
21320;13.805827073999998;21320;125.76147920149154;21320;0.10226538573333331;21320;0.87085717916488647;21320;-0.055914312601089478;21320;1617.9498291015625;21320;3776.02880859375;21320;1618.8474260468422;21320;3793.0438552174569;21320;-0.053149359579410471;21320;2
21330;17.896442503333336;21330;124.87583498176274;21330;0.13256624076543214;21330;0.440949410200119;21330;-0.056170295923948288;21330;1617.7802734375;21330;3776.0166015625;21330;1618.8795853917859;21330;3794.1195811541897;21330;-0.053016793338645035;21330;2
21340;9.7152116446666721;21340;105.39166214772882;21340;0.0719645307012346;21340;0.440949410200119;21340;-0.056170295923948288;21340;1617.7802734375;21340;3776.0166015625;21340;1618.9480642787478;21340;3790.762800584575;21340;-0.051606229634738432;21340;1
21350;-2.8122981076666682;21350;94.321109401118648;21350;-0.02083183783456791;21350;0.440949410200119;21350;-0.056170295923948288;21350;1617.7802734375;21350;3776.0166015625;21350;1619.2905172173496;21350;3791.9769470611213;21350;-0.0502805672270841;21350;2
21360;-1.0226538573333339;21360;100.07779682935595;21360;-0.007575213758024695;21360;0.440949410200119;21360;-0.056170295923948288;21360;1617.7802734375;21360;3776.0166015625;21360;1619.463197038921;21360;3793.021150325806;21360;-0.049560921920071749;21360;2
21370;10.737865502;21370;118.67632544366103;21370;0.079539744459259265;21370;0.440949410200119;21370;-0.056170295923948288;21370;1617.7802734375;21370;3776.0166015625;21370;1619.4154327603915;21370;3793.9635709556878;21370;-0.049769240298417422;21370;2
21380;18.152105967666671;21380;122.66172443244069;21380;0.13446004420493832;21380;0.91296184062957764;21380;-0.057332564145326614;21380;1617.8028564453125;21380;3776.008056640625;21380;1619.3976254807071;21380;3794.9642427423905;21380;-0.049844992435997659;21380;2
21390;10.737865502;21390;108.04859480691525;21390;0.079539744459259265;21390;0.91296184062957764;21390;-0.057332564145326614;21390;1617.8028564453125;21390;3776.008056640625;21390;1619.4197156830689;21390;3791.1492821050097;21390;-0.050950446554190815;21390;1
21400;-3.834951964999997;21400;91.664176741932224;21400;-0.028407051592592571;21400;0.91296184062957764;21400;-0.057332564145326614;21400;1617.8028564453125;21400;3776.008056640625;21400;1619.7640327876688;21400;3792.34049387907;21400;-0.049605846112141444;21400;2
21410;-5.1132692866666645;21410;91.2213546320678;21410;-0.037876068790123438;21410;0.91296184062957764;21410;-0.057332564145326614;21410;1617.8028564453125;21410;3776.008056640625;21410;1619.9569229380059;21410;3793.409031875321;21410;-0.048810448667548856;21410;2
21420;6.3915866083333315;21420;112.91963801542374;21420;0.047345085987654308;21420;0.91296184062957764;21420;-0.057332564145326614;21420;1617.8028564453125;21420;3776.008056640625;21420;1619.892553302557;21420;3794.3242145704521;21420;-0.049094519183474794;21420;2
21430;16.618125181666667;21430;120.89043599298307;21430;0.12309722356790123;21430;0.91296184062957764;21430;-0.057332564145326614;21430;1617.8028564453125;21430;3776.008056640625;21430;1619.8069144802144;21430;3795.2338376234134;21430;-0.049473279871376036;21430;2
21440;9.203884716;21440;112.47681590555933;21440;0.068176923822222221;21440;0.63579094409942627;21440;-0.057882148772478104;21440;1617.72998046875;21440;3776.133544921875;21440;1619.9242006531138;21440;3796.3587436890639;21440;-0.048999829011499491;21440;2
