Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\cyclicTrajectory.csv;
Starttime of export;133244135421787000;Montag, 27. März 2023;19:59:02.178
Endtime of export;133244136106087000;Montag, 27. März 2023;20:00:10.608


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

280;1614.973876953125;1195.73974609375;1612.0461019228592;1402.1639304795338;1650;1614.8170995417656;1.3179408292369981;1.9181882845137805;0.98083186149597168;1.3179408292369981
290;1621.1251220703125;1216.0439453125;1613.2886376725039;1406.8694461712198;1650;1614.8170995417656;1.3330517495348464;1.9181882845137805;1.041907548904419;1.3330517495348464
300;1621.1251220703125;1216.0439453125;1614.7591270042938;1411.601242232844;1650;1614.8170995417656;1.3486022216110041;1.9181882845137805;1.041907548904419;1.3486022216110041
310;1621.1251220703125;1216.0439453125;1615.8862832480691;1415.9603080441484;1650;1639.8170995417656;1.364169932563305;1.8732756165411144;1.041907548904419;1.364169932563305
320;1621.1251220703125;1216.0439453125;1616.9243394316504;1420.119081073515;1650;1639.8170995417656;1.378656092371304;1.8732756165411144;1.041907548904419;1.378656092371304
330;1631.146240234375;1240.215087890625;1618.020023726946;1424.7170615274245;1650;1639.8170995417656;1.3931072090704757;1.8732756165411144;1.0878535509109497;1.3931072090704757
340;1631.146240234375;1240.215087890625;1619.2160691892811;1429.169329559423;1650;1639.8170995417656;1.405824193275852;1.8732756165411144;1.0878535509109497;1.405824193275852
350;1631.146240234375;1240.215087890625;1620.711866234599;1433.6059064098238;1650;1639.8170995417656;1.4182754725436575;1.8732756165411144;1.0878535509109497;1.4182754725436575
360;1631.146240234375;1240.215087890625;1622.1816196700288;1438.0169393588717;1650;1664.8170995417654;1.432969111846522;1.8280837857443151;1.0878535509109497;1.432969111846522
370;1636.7802734375;1255.1083984375;1623.3310809561363;1442.546336868254;1650;1664.8170995417654;1.4493643217163692;1.8280837857443151;1.1616466045379639;1.4493643217163692
380;1636.7802734375;1255.1083984375;1624.0857155359097;1447.2297063454414;1650;1664.8170995417654;1.4644932870243554;1.8280837857443151;1.1616466045379639;1.4644932870243554
390;1636.7802734375;1255.1083984375;1625.0241057098633;1452.0300434402438;1650;1664.8170995417654;1.4763673578962508;1.8280837857443151;1.1616466045379639;1.4763673578962508
400;1636.7802734375;1255.1083984375;1625.8622767186912;1456.8934346974111;1650;1664.8170995417654;1.4887959272353739;1.8280837857443151;1.1616466045379639;1.4887959272353739
410;1636.7802734375;1255.1083984375;1626.7149977877114;1461.6415131237422;1650;1689.8170995417654;1.5026684964346915;1.78265240621196;1.1616466045379639;1.5026684964346915
420;1649.970703125;1291.390380859375;1627.895069292081;1465.9348105160079;1650;1689.8170995417654;1.5152064460393302;1.78265240621196;1.2843749523162842;1.5152064460393302
430;1649.970703125;1291.390380859375;1629.0477984898707;1470.2681346488228;1650;1689.8170995417654;1.5263888009402165;1.78265240621196;1.2843749523162842;1.5263888009402165
440;1649.970703125;1291.390380859375;1629.9782852344308;1475.2710536751713;1650;1689.8170995417654;1.5362611377821296;1.78265240621196;1.2843749523162842;1.5362611377821296
450;1649.970703125;1291.390380859375;1630.524460229366;1480.4091693688063;1650;1689.8170995417654;1.5440652284293799;1.78265240621196;1.2843749523162842;1.5440652284293799
460;1657.366943359375;1311.1563720703125;1631.6281566107548;1485.2731425284546;1650;1714.8170995417654;1.5553686826053541;1.7370213020153755;1.3270206451416016;1.5553686826053541
470;1657.366943359375;1311.1563720703125;1632.8584949484439;1489.8921224238243;1650;1714.8170995417654;1.5675688670749768;1.7370213020153755;1.3270206451416016;1.5675688670749768
480;1657.366943359375;1311.1563720703125;1633.1472310822981;1494.9787601732667;1650;1714.8170995417654;1.5772671062497867;1.7370213020153755;1.3270206451416016;1.5772671062497867
490;1657.366943359375;1311.1563720703125;1632.9987729662096;1500.3834983695501;1650;1714.8170995417654;1.5857018935188394;1.7370213020153755;1.3270206451416016;1.5857018935188394
500;1661.85986328125;1329.593017578125;1634.2876624880519;1505.3068573456969;1650;1714.8170995417654;1.5948643795429918;1.7370213020153755;1.3817507028579712;1.5948643795429918
510;1661.85986328125;1329.593017578125;1635.5120074547708;1509.8627017959027;1650;1739.8170995417652;1.6009255958084858;1.6912304722997984;1.3817507028579712;1.6009255958084858
520;1661.85986328125;1329.593017578125;1635.5951564937263;1514.7650006289125;1650;1739.8170995417652;1.6064232588326919;1.6912304722997984;1.3817507028579712;1.6064232588326919
530;1661.85986328125;1329.593017578125;1635.5583085450303;1520.1874733900734;1650;1739.8170995417652;1.6128301621299417;1.6912304722997984;1.3817507028579712;1.6128301621299417
540;1667.1357421875;1370.2818603515625;1636.4662377793738;1525.3323173082524;1650;1739.8170995417652;1.6191372627528675;1.6912304722997984;1.4692974090576172;1.6191372627528675
550;1667.1357421875;1370.2818603515625;1637.3004179604782;1530.062540192424;1650;1739.8170995417652;1.6233126460365255;1.6912304722997984;1.4692974090576172;1.6233126460365255
560;1667.1357421875;1370.2818603515625;1637.4544319727602;1535.2193114239196;1650;1764.8170995417652;1.6264635334914461;1.645320056222072;1.4692974090576172;1.6264635334914461
570;1667.1357421875;1370.2818603515625;1637.693636804109;1540.6039992782435;1650;1764.8170995417652;1.6281065649394808;1.645320056222072;1.4692974090576172;1.6281065649394808
580;1667.1357421875;1370.2818603515625;1638.5767401123526;1546.122401554768;1650;1764.8170995417652;1.6294673305289511;1.645320056222072;1.4692974090576172;1.6294673305289511
590;1670.425048828125;1391.947509765625;1639.5922056558916;1551.530402272532;1650;1764.8170995417652;1.6321118492608417;1.645320056222072;1.5048235654830933;1.6321118492608417
600;1670.425048828125;1391.947509765625;1640.0686020807227;1556.8536296634213;1650;1764.8170995417652;1.634981335636581;1.645320056222072;1.5048235654830933;1.634981335636581
610;1670.425048828125;1391.947509765625;1640.3149975043541;1562.4726850790908;1650;1789.817099541765;1.6377900404844943;1.599330297765613;1.5048235654830933;1.6377900404844943
620;1670.425048828125;1391.947509765625;1640.6724825163547;1567.6722485356845;1650;1789.817099541765;1.6398328503182791;1.599330297765613;1.5048235654830933;1.6398328503182791
630;1672.950439453125;1411.636474609375;1641.2208685944609;1572.519410586413;1650;1789.817099541765;1.6408696521093529;1.599330297765613;1.5234086513519287;1.6408696521093529
640;1672.950439453125;1411.636474609375;1641.5733035272031;1577.5272031933196;1650;1789.817099541765;1.6418031679933411;1.599330297765613;1.5234086513519287;1.6418031679933411
650;1672.950439453125;1411.636474609375;1641.826934882768;1582.9243406791597;1650;1789.817099541765;1.6425279013254552;1.599330297765613;1.5234086513519287;1.6425279013254552
660;1672.950439453125;1411.636474609375;1642.6453783154443;1588.4321588531764;1650;1814.817099541765;1.6410141485394822;1.553301510463488;1.5234086513519287;1.6410141485394822
670;1676.618408203125;1432.318603515625;1643.7391339537405;1593.9957865530862;1650;1814.817099541765;1.6384417033003289;1.553301510463488;1.5375828742980957;1.6384417033003289
680;1676.618408203125;1432.318603515625;1644.7710187864361;1599.2352027150262;1650;1814.817099541765;1.6368278428855365;1.553301510463488;1.5375828742980957;1.6368278428855365
690;1676.618408203125;1432.318603515625;1645.6676245929821;1604.2750439227259;1650;1814.817099541765;1.6348760169372851;1.553301510463488;1.5375828742980957;1.6348760169372851
700;1676.618408203125;1432.318603515625;1646.1388340639171;1609.3701454763302;1650;1814.817099541765;1.6338672149447404;1.553301510463488;1.5375828742980957;1.6338672149447404
710;1684.59033203125;1478.72900390625;1646.1485147084413;1614.58218461364;1650;1839.817099541765;1.6330920365591772;1.5072740420605255;1.5552936792373657;1.6330920365591772
720;1684.59033203125;1478.72900390625;1646.4786896835187;1619.6501144212218;1650;1839.817099541765;1.6299331735597511;1.5072740420605255;1.5552936792373657;1.6299331735597511
730;1684.59033203125;1478.72900390625;1647.5708107992548;1625.072657371901;1650;1839.817099541765;1.6255363964085883;1.5072740420605255;1.5552936792373657;1.6255363964085883
740;1684.59033203125;1478.72900390625;1648.5546859283984;1630.6516197706269;1650;1839.817099541765;1.6219464475834893;1.5072740420605255;1.5552936792373657;1.6219464475834893
