Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\testauftrag.csv;
Starttime of export;133245718363175000;Mittwoch, 29. März 2023;15:57:16.317
Endtime of export;133245718651045081;Mittwoch, 29. März 2023;15:57:45.104


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

310;1818.7783203125;1366.885009765625;1818.7902697527136;1366.8865936336226;0;0;-1.5795379564086116;0;-1.5792851448059082;-1.5795379564086116
320;1818.7783203125;1366.885009765625;1818.7901502583115;1366.8865777949427;0;0;-1.5795354282925846;0;-1.5792851448059082;-1.5795354282925846
330;1818.7783203125;1366.885009765625;1818.7900319588534;1366.8865621146495;0;0;-1.579532925457718;0;-1.5792851448059082;-1.579532925457718
340;1818.7783203125;1366.885009765625;1818.7899148423899;1366.8865465911592;0;0;-1.5795304476511998;0;-1.5792851448059082;-1.5795304476511998
350;1818.801025390625;1366.88623046875;1818.789798897091;1366.8865312229038;0;0;-1.579527994622747;0;-1.5791363716125488;-1.579527994622747
360;1818.801025390625;1366.88623046875;1818.7896841112452;1366.886516008331;0;0;-1.5795255661245786;0;-1.5791363716125488;-1.5795255661245786
370;1818.801025390625;1366.88623046875;1818.7897975240389;1366.8865131529351;0;0;-1.5795216741794582;0;-1.5791363716125488;-1.5795216741794582
380;1818.801025390625;1366.88623046875;1818.7899098027049;1366.8865103260932;0;0;-1.579517821153789;0;-1.5791363716125488;-1.579517821153789
390;1818.7744140625;1366.8812255859375;1818.7900209585841;1366.8865075275198;0;0;-1.5795140066583766;0;-1.5793867111206055;-1.5795140066583766
400;1818.7744140625;1366.8812255859375;1818.7901310029045;1366.886504756932;0;0;-1.5795102303079183;0;-1.5793867111206055;-1.5795102303079183
410;1818.7744140625;1366.8812255859375;1818.7899738335004;1366.886451965222;0;0;-1.579508995116045;0;-1.5793867111206055;-1.579508995116045
420;1818.7744140625;1366.8812255859375;1818.7898182357903;1366.8863997014291;0;0;-1.5795077722760906;0;-1.5793867111206055;-1.5795077722760906
430;1818.7568359375;1366.8756103515625;1818.7896641940574;1366.8863479602742;0;0;-1.5795065616645359;0;-1.5794978141784668;-1.5795065616645359
440;1818.7568359375;1366.8756103515625;1818.7895116927418;1366.8862967365308;0;0;-1.5795053631590965;0;-1.5794978141784668;-1.5795053631590965
450;1818.7568359375;1366.8756103515625;1818.7891849351895;1366.8861898726811;0;0;-1.57950528766929;0;-1.5794978141784668;-1.57950528766929
460;1818.7568359375;1366.8756103515625;1818.7888614452127;1366.88608407747;0;0;-1.5795052129343818;0;-1.5794978141784668;-1.5795052129343818
470;1818.7568359375;1366.8756103515625;1818.7885411901355;1366.885979340211;0;0;-1.5795051389468227;0;-1.5794978141784668;-1.5795051389468227
480;1818.7861328125;1366.886962890625;1818.7882241376092;1366.8858756503246;0;0;-1.5795050656991392;0;-1.5789921283721924;-1.5795050656991392
490;1818.7861328125;1366.886962890625;1818.787910255608;1366.885772997337;0;0;-1.5795049931839325;0;-1.5789921283721924;-1.5795049931839325
500;1818.7861328125;1366.886962890625;1818.7878924811769;1366.8857848962698;0;0;-1.5794998645358152;0;-1.5789921283721924;-1.5794998645358152
510;1818.7861328125;1366.886962890625;1818.78787488449;1366.8857966762134;0;0;-1.5794947871741789;0;-1.5789921283721924;-1.5794947871741789
520;1818.7861328125;1366.886962890625;1818.7878574637703;1366.8858083383575;0;0;-1.5794897605861591;0;-1.5789921283721924;-1.5794897605861591
530;1818.78173828125;1366.86865234375;1818.7878402172576;1366.8858198838802;0;0;-1.5794847842640194;0;-1.5795011520385742;-1.5794847842640194
540;1818.78173828125;1366.86865234375;1818.78782314321;1366.8858313139476;0;0;-1.579479857705101;0;-1.5795011520385742;-1.579479857705101
550;1818.78173828125;1366.86865234375;1818.7877622945905;1366.8856595242457;0;0;-1.5794800706484358;0;-1.5795011520385742;-1.5794800706484358
560;1818.78173828125;1366.86865234375;1818.787702054457;1366.8854894524409;0;0;-1.5794802814623372;0;-1.5795011520385742;-1.5794802814623372
570;1818.78173828125;1366.86865234375;1818.787642416725;1366.8853210813541;0;0;-1.5794804901680997;0;-1.5795011520385742;-1.5794804901680997
580;1818.787353515625;1366.906005859375;1818.7875833753703;1366.8851543939779;0;0;-1.5794806967868045;0;-1.5794271230697632;-1.5794806967868045
590;1818.787353515625;1366.906005859375;1818.7875249244291;1366.8849893734757;0;0;-1.5794809013393221;0;-1.5794271230697632;-1.5794809013393221
600;1818.787353515625;1366.906005859375;1818.7875232103411;1366.8851995383348;0;0;-1.5794803635566266;0;-1.5794271230697632;-1.5794803635566266
610;1818.787353515625;1366.906005859375;1818.7875215133938;1366.8854076015452;0;0;-1.5794798311517579;0;-1.5794271230697632;-1.5794798311517579
620;1818.787353515625;1366.906005859375;1818.7875198334161;1366.8856135841236;0;0;-1.5794793040709381;0;-1.5794271230697632;-1.5794793040709381
630;1818.8291015625;1366.8909912109375;1818.7875181702382;1366.885817506876;0;0;-1.5794787822609264;0;-1.5796198844909668;-1.5794787822609264
640;1818.8291015625;1366.8909912109375;1818.7875165236922;1366.8860193904011;0;0;-1.5794782656690147;0;-1.5796198844909668;-1.5794782656690147
650;1818.8291015625;1366.8909912109375;1818.7879323740801;1366.8860691086065;0;0;-1.5794796818572343;0;-1.5796198844909668;-1.5794796818572343
660;1818.8291015625;1366.8909912109375;1818.7883440659643;1366.8861183296299;0;0;-1.5794810838835716;0;-1.5796198844909668;-1.5794810838835716
670;1818.8291015625;1366.8909912109375;1818.7887516409296;1366.8861670584429;0;0;-1.5794824718896454;0;-1.5796198844909668;-1.5794824718896454
680;1818.77099609375;1366.866455078125;1818.7891551401453;1366.8862152999677;0;0;-1.5794838460156586;0;-1.5795421600341797;-1.5794838460156586
690;1818.77099609375;1366.866455078125;1818.789554604369;1366.8862630590775;0;0;-1.5794852064004117;0;-1.5795421600341797;-1.5794852064004117
700;1818.77099609375;1366.866455078125;1818.7893690192627;1366.886064979268;0;0;-1.5794857759367493;0;-1.5795421600341797;-1.5794857759367493
710;1818.77099609375;1366.866455078125;1818.7891852900075;1366.8858688802566;0;0;-1.5794863397777237;0;-1.5795421600341797;-1.5794863397777237
720;1818.76708984375;1366.90185546875;1818.789003398045;1366.8856747422353;0;0;-1.5794868979802883;0;-1.5796151161193848;-1.5794868979802883
730;1818.76708984375;1366.90185546875;1818.7888233250021;1366.8854825455942;0;0;-1.5794874506008272;0;-1.5796151161193848;-1.5794874506008272
740;1818.76708984375;1366.90185546875;1818.7886059901896;1366.8856462748258;0;0;-1.5794887272560128;0;-1.5796151161193848;-1.5794887272560128
750;1818.76708984375;1366.90185546875;1818.7883908287251;1366.8858083667651;0;0;-1.5794899911446465;0;-1.5796151161193848;-1.5794899911446465
760;1818.76708984375;1366.90185546875;1818.7881778188753;1366.885968837785;0;0;-1.5794912423943939;0;-1.5796151161193848;-1.5794912423943939
770;1818.799072265625;1366.9093017578125;1818.7879669391241;1366.8861277040946;0;0;-1.5794924811316438;0;-1.5792961120605469;-1.5794924811316438
