Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\Rectangle_P3_vRef500.csv;
Starttime of export;133228422645538000;Donnerstag, 9. März 2023;14:31:04.553
Endtime of export;133228422862727344;Donnerstag, 9. März 2023;14:31:26.272


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851

430;1003.61328125;1021.0861206054688;1066;1000;1013.1854567657997;1016.5146980887763;-60.136054187796304;59.341239543574304
440;1007.3204956054688;1020.852783203125;1066;1000;1013.4208974570213;1016.0255637439794;-61.456497324891259;129.33975031588108
450;1007.3204956054688;1020.852783203125;1066;1000;1017.0735560144365;1015.4830529020983;-43.068203817689316;98.55830402525784
460;1007.3204956054688;1020.852783203125;1066;1000;1017.7570785941681;1015.0558007065594;-65.408768225383255;76.865142792781285
470;1007.3204956054688;1020.852783203125;1066;1000;1018.3753156554975;1014.9034876761805;-69.757463828939407;90.0884713769169
480;1007.3204956054688;1020.852783203125;1078;1000;1018.4823159733577;1014.5673672547182;-33.191953927190767;109.99740956230555
490;1008.5985717773438;1019.1389770507813;1078;1000;1018.7550704009525;1014.0737186063943;-63.029453968818;149.71175970955181
500;1008.5985717773438;1019.1389770507813;1078;1000;1020.5413256810127;1012.2188297141119;-94.350220284769179;87.21271450668732
510;1008.5985717773438;1019.1389770507813;1078;1000;1021.2154054226307;1012.0749277410812;-96.87166056569923;82.380979446469183
520;1008.5985717773438;1019.1389770507813;1078;1000;1021.3891875483961;1011.3385132688114;-71.881892143652536;118.28519293338371
530;1014.706787109375;1014.76123046875;1091;1000;1021.5804589171601;1010.7542452497904;-69.434675631281067;115.04427547463587
540;1014.706787109375;1014.76123046875;1091;1000;1028.0884463117013;1006.0530619597413;-105.5615222140292;102.43009171111822
550;1014.706787109375;1014.76123046875;1091;1000;1028.5616076279473;1005.7443689136763;-110.61903820813438;135.48737034228083
560;1014.706787109375;1014.76123046875;1091;1000;1028.6950796657616;1005.0501256635406;-106.81875465813124;129.18945675104735
570;1017.22900390625;1011.8856201171875;1091;1000;1028.9720673946486;1004.6131025187274;-102.53541037175774;111.25501874163126
580;1017.22900390625;1011.8856201171875;1105;1000;1032.0683254911689;1001.3697585273235;-88.943920758894834;109.41721134005668
590;1017.22900390625;1011.8856201171875;1105;1000;1032.5874632831494;1000.9457649654838;-104.63998210828777;118.15728458541096
600;1017.22900390625;1011.8856201171875;1105;1000;1032.3882378933913;1000.6708907311438;-110.21922421478317;126.95632621339996
610;1017.22900390625;1011.8856201171875;1105;1000;1032.5842276989927;1000.0551729482378;-73.717832830171062;128.62297245058278
620;1020.4085083007813;1009.158447265625;1105;1000;1033.085139533199;999.60706838834381;-82.166788655908064;96.209226039042861
630;1020.4085083007813;1009.158447265625;1120;1000;1036.6499889384668;996.840291846769;-93.023040751145174;112.27832757092094
640;1020.4085083007813;1009.158447265625;1120;1000;1036.5121071032343;996.35054349948177;-41.674652313555143;140.59935032247296
650;1020.4085083007813;1009.158447265625;1120;1000;1036.1377727818478;996.05060763165852;-51.047680327989696;110.26919525791509
660;1025.8135986328125;1001.8508911132813;1120;1000;1036.6716391400057;996.57736331137073;-70.818119127063625;105.97564580732121
670;1025.8135986328125;1001.8508911132813;1120;1000;1042.3556116301515;989.72804696140406;-44.411715291264393;159.11477579320973
680;1025.8135986328125;1001.8508911132813;1136;1000;1042.2325161588908;989.73868469156992;-32.897133839275583;129.38670728211625
690;1025.8135986328125;1001.8508911132813;1136;1000;1042.6732211620765;989.98891429497007;-32.971623791651432;123.05676233595949
700;1025.8135986328125;1001.8508911132813;1136;1000;1042.9427873177865;990.71555817871763;-9.4338610169443982;163.77443625855088
710;1028.74169921875;998.59375;1136;1000;1042.8184812377233;991.49203232288244;-39.37628790823662;159.87187424339965
720;1028.74169921875;998.59375;1136;1000;1046.0924316187359;989.208740146013;-37.126976110329366;131.98468502600787
730;1028.74169921875;998.59375;1153;1000;1046.5786001737536;989.8403313706483;20.522137835653346;161.90679060311541
740;1028.74169921875;998.59375;1153;1000;1046.804274910613;990.358500817134;-0.4283373130312853;164.57762235540358
750;1028.74169921875;998.59375;1153;1000;1047.24176997079;991.61012201657331;-50.693475408826508;174.65992120976378
760;1031.11767578125;997.4312744140625;1153;1000;1047.6179829322102;992.70803088559092;-26.291320624736741;184.9655509261427
770;1031.11767578125;997.4312744140625;1153;1000;1050.4543289823021;991.77579887386685;7.4098265632334019;182.38967773683342
780;1031.11767578125;997.4312744140625;1171;1000;1051.341892231173;992.33455355417857;-18.954778949318687;190.68095635700396
790;1031.11767578125;997.4312744140625;1171;1000;1052.0430057328322;993.3388822273223;-32.205753251981704;236.76200007801214
