Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\realTrajectory.csv;
Starttime of export;133228611284515000;Donnerstag, 9. März 2023;19:45:28.451
Endtime of export;133228611419320327;Donnerstag, 9. März 2023;19:45:41.932


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink;e
SampleTime[ms];10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink;Camera.cameraData.robotPosition[2].e
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851;851

330;1401.1375732421875;1001.0771484375;1400;1000;1359.3969787033757;959.45030142042708;0;0;2.8210659027099609
340;1401.1375732421875;1001.0771484375;1400;1000;1368.1284131446771;968.15978238260107;0;0;2.8210659027099609
350;1401.1375732421875;1001.0771484375;1400;1000;1375.2881691747771;975.30147021020252;0;0;2.970179557800293
360;1401.179931640625;1001.0174560546875;1400;1000;1381.1591525458098;981.15758324850322;26.977016435959662;49.354319393221978;2.970179557800293
370;1401.179931640625;1001.0174560546875;1400;1000;1385.7114158768175;985.69831151104461;39.7381053804274;33.562206123969894;2.970179557800293
380;1401.179931640625;1001.0174560546875;1400;1000;1389.2371036390596;989.19671342259426;47.456001500968775;6.12301828824343;2.970179557800293
390;1401.179931640625;1001.0174560546875;1400;1000;1392.0408758778749;991.93827822850062;18.392478327832972;1.1606386628951255;2.970179557800293
400;1401.179931640625;1001.0174560546875;1400;1000;1394.2638131847964;994.12166811115242;26.698880148403934;11.417657774502226;2.970179557800293
410;1401.179931640625;1001.0174560546875;1401.25;1000;1395.9918725765235;995.89251656028216;13.642894594879966;-8.2624066649633;2.4663870334625244
420;1400.97509765625;1001.13623046875;1401.25;1000;1397.3268572601685;997.29547180538145;-9.36248945360636;-10.274200927960184;2.4663870334625244
430;1400.97509765625;1001.13623046875;1401.25;1000;1398.3754083655438;998.42845139415044;33.527613262641339;27.723158987671418;2.4663870334625244
440;1400.97509765625;1001.13623046875;1401.25;1000;1399.1691360410152;999.35030580826913;26.905287071563208;30.286300428168261;2.4663870334625244
450;1400.97509765625;1001.13623046875;1401.25;1000;1399.7614496327224;1000.047285289477;-21.942625380625849;-9.84175572225712;2.4663870334625244
460;1400.97509765625;1001.13623046875;1403.75;1000;1400.2655919309386;1000.6451687802771;8.9945125924573883;-18.132817913062887;2.4663870334625244
470;1400.97509765625;1001.13623046875;1403.75;1000;1400.7096921259827;1001.1562071270384;40.647340868437574;24.360472767222131;2.6336946487426758
480;1401.1058349609375;1001.093505859375;1403.75;1000;1401.0383697178675;1001.5148524612614;-6.5757105490799308;30.127606857114259;2.6336946487426758
490;1401.1058349609375;1001.093505859375;1403.75;1000;1401.3351220020229;1001.8071952532666;-22.592421787762476;-20.26546929967996;2.6336946487426758
500;1401.1058349609375;1001.093505859375;1403.75;1000;1401.6325174350038;1002.0970599761838;10.599551148234985;-19.559761297661503;2.6336946487426758
510;1401.1058349609375;1001.093505859375;1407.5;1000;1401.9207510546344;1002.3121534099608;16.85313474291538;49.431495907176711;2.6336946487426758
520;1401.1058349609375;1001.093505859375;1407.5;1000;1402.1117222094674;1002.4390933826799;-1.6882193343087877;27.479239825591552;2.6336946487426758
530;1401.1058349609375;1001.093505859375;1407.5;1000;1402.1353513481975;1002.505008781104;-6.8547925332179842;-28.676653437230019;2.6336946487426758
540;1401.1058349609375;1001.093505859375;1407.5;1000;1402.2871449549771;1002.511413657651;-0.29002112410693603;11.521073889236732;3.7654819488525391
550;1401.015625;1002.982421875;1407.5;1000;1402.4443277766586;1002.4243978597345;4.9624618573370487;49.939685455985746;3.7654819488525391
