Name;XY Scope Project;
File;E:\hawino\Measurements\VarianceMeasurement\NewVarinaceMeasurements\Scope Project.csv;
Starttime of export;133228407932529000;Donnerstag, 9. März 2023;14:06:33.252
Endtime of export;133228408164213426;Donnerstag, 9. März 2023;14:06:56.421


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851

0;497.751953125;705.40576171875;1000;1000;0;0
10;497.63055419921875;705.3515625;1000;1000;0;0
20;497.63055419921875;705.3515625;1000;1000;0;0
30;497.63055419921875;705.3515625;1000;1000;0;0
40;497.63055419921875;705.3515625;1000;1000;0;0
50;497.74652099609375;705.3487548828125;1000;1000;0;0
60;497.74652099609375;705.3487548828125;1000;1000;0;0
70;497.74652099609375;705.3487548828125;1000;1000;0;0
80;497.74652099609375;705.3487548828125;1000;1000;0;0
90;497.63409423828125;705.3365478515625;1000;1000;0;0
100;497.63409423828125;705.3365478515625;1000;1000;0;0
110;497.63409423828125;705.3365478515625;1000;1000;0;0
120;497.63409423828125;705.3365478515625;1000;1000;0;0
130;497.63409423828125;705.3365478515625;1000;1000;0;0
140;497.60675048828125;705.31744384765625;1000;1000;0;0
150;497.60675048828125;705.31744384765625;1000;1000;0;0
160;497.60675048828125;705.31744384765625;1000;1000;0;0
170;497.60675048828125;705.31744384765625;1000;1000;0;0
180;497.5279541015625;705.21197509765625;1000;1000;0;0
190;497.5279541015625;705.21197509765625;1000;1000;0;0
200;497.5279541015625;705.21197509765625;1000;1000;0;0
210;497.5279541015625;705.21197509765625;1000;1000;0;0
220;497.58523559570312;705.256103515625;1000;1000;0;0
230;497.58523559570312;705.256103515625;1000;1000;0;0
240;497.58523559570312;705.256103515625;1000;1000;0;0
250;497.58523559570312;705.256103515625;1000;1000;0;0
260;497.58523559570312;705.256103515625;1000;1000;0;0
270;497.737548828125;705.3907470703125;1000;1000;0;0
280;497.737548828125;705.3907470703125;1000;1000;0;0
290;497.737548828125;705.3907470703125;1000;1000;0;0
300;497.737548828125;705.3907470703125;1000;1000;0;0
310;497.703857421875;705.36590576171875;1000;1000;0;0
320;497.703857421875;705.36590576171875;1000;1000;0;0
330;497.703857421875;705.36590576171875;1000;1000;0;0
340;497.703857421875;705.36590576171875;1000;1000;0;0
350;497.703857421875;705.36590576171875;1000;1000;0;0
360;497.6934814453125;705.32940673828125;1000;1000;0;0
370;497.6934814453125;705.32940673828125;1000;1000;0;0
380;497.6934814453125;705.32940673828125;1000;1000;0;0
390;497.6934814453125;705.32940673828125;1000;1000;0;0
400;497.728515625;705.4171142578125;1000;1000;0;0
410;497.728515625;705.4171142578125;1000;1000;0;0
420;497.728515625;705.4171142578125;1000;1000;0;0
430;497.728515625;705.4171142578125;1000;1000;0;0
