Name;CameraNoise;
File;E:\hawino\Measurements\CameraNoise.csv;
Starttime of export;133204328342999000;Donnerstag, 9. Februar 2023;17:13:54.299
Endtime of export;133204328760099000;Donnerstag, 9. Februar 2023;17:14:36.009


Name;cam2x;Name;cam2y;Name;cam2theta;Name;cam4x;Name;cam4y;Name;cam4theta;Name;cam3x;Name;cam3y;Name;cam3theta;Name;cam2e;Name;cam3e;Name;cam4e
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;CameraNoise.cam2x;SymbolName;CameraNoise.cam2y;SymbolName;CameraNoise.cam2theta;SymbolName;CameraNoise.cam4x;SymbolName;CameraNoise.cam4y;SymbolName;CameraNoise.cam4theta;SymbolName;CameraNoise.cam3x;SymbolName;CameraNoise.cam3y;SymbolName;CameraNoise.cam3theta;SymbolName;CameraNoise.cam2e;SymbolName;CameraNoise.cam3e;SymbolName;CameraNoise.cam4e
NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1
Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851

200;6617.05126953125;200;3414.194091796875;200;-0.47720107436180115;200;4792.8837890625;200;2289.5341796875;200;1.5492175817489624;200;1885.095947265625;200;872.9271240234375;200;-2.7736964225769043;200;1.4706733226776123;200;1.5884349346160889;200;1.3673195838928223
210;6617.044921875;210;3414.203125;210;-0.47739577293395996;210;4792.87158203125;210;2289.527099609375;210;1.5492348670959473;210;1885.12841796875;210;872.95654296875;210;-2.7730636596679688;210;1.5477491617202759;210;1.8768817186355591;210;1.4372060298919678
220;6617.044921875;220;3414.203125;220;-0.47739577293395996;220;4792.87158203125;220;2289.527099609375;220;1.5492348670959473;220;1885.12841796875;220;872.95654296875;220;-2.7730636596679688;220;1.5477491617202759;220;1.8768817186355591;220;1.4372060298919678
230;6617.044921875;230;3414.203125;230;-0.47739577293395996;230;4792.87158203125;230;2289.527099609375;230;1.5492348670959473;230;1885.12841796875;230;872.95654296875;230;-2.7730636596679688;230;1.5477491617202759;230;1.8768817186355591;230;1.4372060298919678
240;6617.044921875;240;3414.203125;240;-0.47739577293395996;240;4792.87158203125;240;2289.527099609375;240;1.5492348670959473;240;1885.12841796875;240;872.95654296875;240;-2.7730636596679688;240;1.5477491617202759;240;1.8768817186355591;240;1.4372060298919678
250;6617.044921875;250;3414.203125;250;-0.47739577293395996;250;4792.87158203125;250;2289.527099609375;250;1.5492348670959473;250;1885.12841796875;250;872.95654296875;250;-2.7730636596679688;250;1.5477491617202759;250;1.8768817186355591;250;1.4372060298919678
260;6617.044921875;260;3414.203125;260;-0.47739577293395996;260;4792.87158203125;260;2289.527099609375;260;1.5492348670959473;260;1885.12841796875;260;872.95654296875;260;-2.7730636596679688;260;1.5477491617202759;260;1.8768817186355591;260;1.4372060298919678
270;6617.0205078125;270;3414.20166015625;270;-0.47742155194282532;270;4792.8134765625;270;2289.48486328125;270;1.5502078533172607;270;1885.0870361328125;270;872.92169189453125;270;-2.7738845348358154;270;1.5756232738494873;270;1.5294499397277832;270;1.4251902103424072
280;6617.0205078125;280;3414.20166015625;280;-0.47742155194282532;280;4792.8134765625;280;2289.48486328125;280;1.5502078533172607;280;1885.0870361328125;280;872.92169189453125;280;-2.7738845348358154;280;1.5756232738494873;280;1.5294499397277832;280;1.4251902103424072
290;6617.0205078125;290;3414.20166015625;290;-0.47742155194282532;290;4792.8134765625;290;2289.48486328125;290;1.5502078533172607;290;1885.0870361328125;290;872.92169189453125;290;-2.7738845348358154;290;1.5756232738494873;290;1.5294499397277832;290;1.4251902103424072
300;6617.0205078125;300;3414.20166015625;300;-0.47742155194282532;300;4792.8134765625;300;2289.48486328125;300;1.5502078533172607;300;1885.0870361328125;300;872.92169189453125;300;-2.7738845348358154;300;1.5756232738494873;300;1.5294499397277832;300;1.4251902103424072
310;6617.0205078125;310;3414.20166015625;310;-0.47742155194282532;310;4792.8134765625;310;2289.48486328125;310;1.5502078533172607;310;1885.0870361328125;310;872.92169189453125;310;-2.7738845348358154;310;1.5756232738494873;310;1.5294499397277832;310;1.4251902103424072
320;6617.0361328125;320;3414.20068359375;320;-0.47721147537231445;320;4792.8779296875;320;2289.48583984375;320;1.5496127605438232;320;1885.10302734375;320;872.9842529296875;320;-2.7741131782531738;320;1.5892728567123413;320;1.7147988080978394;320;1.1870840787887573
330;6617.0361328125;330;3414.20068359375;330;-0.47721147537231445;330;4792.8779296875;330;2289.48583984375;330;1.5496127605438232;330;1885.10302734375;330;872.9842529296875;330;-2.7741131782531738;330;1.5892728567123413;330;1.7147988080978394;330;1.1870840787887573
340;6617.0361328125;340;3414.20068359375;340;-0.47721147537231445;340;4792.8779296875;340;2289.48583984375;340;1.5496127605438232;340;1885.10302734375;340;872.9842529296875;340;-2.7741131782531738;340;1.5892728567123413;340;1.7147988080978394;340;1.1870840787887573
350;6617.0361328125;350;3414.20068359375;350;-0.47721147537231445;350;4792.8779296875;350;2289.48583984375;350;1.5496127605438232;350;1885.10302734375;350;872.9842529296875;350;-2.7741131782531738;350;1.5892728567123413;350;1.7147988080978394;350;1.1870840787887573
360;6617.0361328125;360;3414.20068359375;360;-0.47721147537231445;360;4792.8779296875;360;2289.48583984375;360;1.5496127605438232;360;1885.10302734375;360;872.9842529296875;360;-2.7741131782531738;360;1.5892728567123413;360;1.7147988080978394;360;1.1870840787887573
370;6617.0107421875;370;3414.191162109375;370;-0.477474570274353;370;4792.8984375;370;2289.486572265625;370;1.5497697591781616;370;1885.080322265625;370;872.94195556640625;370;-2.7740020751953125;370;1.4686647653579712;370;1.47458016872406;370;1.0316036939620972
380;6617.0107421875;380;3414.191162109375;380;-0.477474570274353;380;4792.8984375;380;2289.486572265625;380;1.5497697591781616;380;1885.080322265625;380;872.94195556640625;380;-2.7740020751953125;380;1.4686647653579712;380;1.47458016872406;380;1.0316036939620972
390;6617.0107421875;390;3414.191162109375;390;-0.477474570274353;390;4792.8984375;390;2289.486572265625;390;1.5497697591781616;390;1885.080322265625;390;872.94195556640625;390;-2.7740020751953125;390;1.4686647653579712;390;1.47458016872406;390;1.0316036939620972
400;6617.0107421875;400;3414.191162109375;400;-0.477474570274353;400;4792.8984375;400;2289.486572265625;400;1.5497697591781616;400;1885.080322265625;400;872.94195556640625;400;-2.7740020751953125;400;1.4686647653579712;400;1.47458016872406;400;1.0316036939620972
410;6617.0107421875;410;3414.191162109375;410;-0.477474570274353;410;4792.8984375;410;2289.486572265625;410;1.5497697591781616;410;1885.080322265625;410;872.94195556640625;410;-2.7740020751953125;410;1.4686647653579712;410;1.47458016872406;410;1.0316036939620972
420;6617.04931640625;420;3414.220458984375;420;-0.47724905610084534;420;4792.94091796875;420;2289.497802734375;420;1.549470067024231;420;1885.1312255859375;420;872.92388916015625;420;-2.77305269241333;420;1.5110464096069336;420;1.478628396987915;420;1.4429099559783936
430;6617.04931640625;430;3414.220458984375;430;-0.47724905610084534;430;4792.94091796875;430;2289.497802734375;430;1.549470067024231;430;1885.1312255859375;430;872.92388916015625;430;-2.77305269241333;430;1.5110464096069336;430;1.478628396987915;430;1.4429099559783936
440;6617.04931640625;440;3414.220458984375;440;-0.47724905610084534;440;4792.94091796875;440;2289.497802734375;440;1.549470067024231;440;1885.1312255859375;440;872.92388916015625;440;-2.77305269241333;440;1.5110464096069336;440;1.478628396987915;440;1.4429099559783936
450;6617.04931640625;450;3414.220458984375;450;-0.47724905610084534;450;4792.94091796875;450;2289.497802734375;450;1.549470067024231;450;1885.1312255859375;450;872.92388916015625;450;-2.77305269241333;450;1.5110464096069336;450;1.478628396987915;450;1.4429099559783936
460;6617.04931640625;460;3414.220458984375;460;-0.47724905610084534;460;4792.94091796875;460;2289.497802734375;460;1.549470067024231;460;1885.1312255859375;460;872.92388916015625;460;-2.77305269241333;460;1.5110464096069336;460;1.478628396987915;460;1.4429099559783936
470;6617.0087890625;470;3414.20361328125;470;-0.47756224870681763;470;4792.91943359375;470;2289.51806640625;470;1.5490318536758423;470;1885.097900390625;470;872.9849853515625;470;-2.7733783721923828;470;1.5746622085571289;470;1.4397956132888794;470;1.8204580545425415
480;6617.0087890625;480;3414.20361328125;480;-0.47756224870681763;480;4792.91943359375;480;2289.51806640625;480;1.5490318536758423;480;1885.097900390625;480;872.9849853515625;480;-2.7733783721923828;480;1.5746622085571289;480;1.4397956132888794;480;1.8204580545425415
490;6617.0087890625;490;3414.20361328125;490;-0.47756224870681763;490;4792.91943359375;490;2289.51806640625;490;1.5490318536758423;490;1885.097900390625;490;872.9849853515625;490;-2.7733783721923828;490;1.5746622085571289;490;1.4397956132888794;490;1.8204580545425415
500;6617.0087890625;500;3414.20361328125;500;-0.47756224870681763;500;4792.91943359375;500;2289.51806640625;500;1.5490318536758423;500;1885.097900390625;500;872.9849853515625;500;-2.7733783721923828;500;1.5746622085571289;500;1.4397956132888794;500;1.8204580545425415
510;6617.0087890625;510;3414.20361328125;510;-0.47756224870681763;510;4792.91943359375;510;2289.51806640625;510;1.5490318536758423;510;1885.097900390625;510;872.9849853515625;510;-2.7733783721923828;510;1.5746622085571289;510;1.4397956132888794;510;1.8204580545425415
520;6617.0087890625;520;3414.20361328125;520;-0.47756224870681763;520;4792.91943359375;520;2289.51806640625;520;1.5490318536758423;520;1885.097900390625;520;872.9849853515625;520;-2.7733783721923828;520;1.5746622085571289;520;1.4397956132888794;520;1.8204580545425415
530;6617.0595703125;530;3414.19970703125;530;-0.47734063863754272;530;4792.86376953125;530;2289.516845703125;530;1.550493597984314;530;1885.1346435546875;530;872.951416015625;530;-2.773547887802124;530;1.4708386659622192;530;1.6482416391372681;530;1.2781065702438355
540;6617.0595703125;540;3414.19970703125;540;-0.47734063863754272;540;4792.86376953125;540;2289.516845703125;540;1.550493597984314;540;1885.1346435546875;540;872.951416015625;540;-2.773547887802124;540;1.4708386659622192;540;1.6482416391372681;540;1.2781065702438355
550;6617.0595703125;550;3414.19970703125;550;-0.47734063863754272;550;4792.86376953125;550;2289.516845703125;550;1.550493597984314;550;1885.1346435546875;550;872.951416015625;550;-2.773547887802124;550;1.4708386659622192;550;1.6482416391372681;550;1.2781065702438355
560;6617.0595703125;560;3414.19970703125;560;-0.47734063863754272;560;4792.86376953125;560;2289.516845703125;560;1.550493597984314;560;1885.1346435546875;560;872.951416015625;560;-2.773547887802124;560;1.4708386659622192;560;1.6482416391372681;560;1.2781065702438355
570;6617.0595703125;570;3414.19970703125;570;-0.47734063863754272;570;4792.86376953125;570;2289.516845703125;570;1.550493597984314;570;1885.1346435546875;570;872.951416015625;570;-2.773547887802124;570;1.4708386659622192;570;1.6482416391372681;570;1.2781065702438355
580;6617.0302734375;580;3414.1904296875;580;-0.47745880484580994;580;4792.96337890625;580;2289.541015625;580;1.5487812757492065;580;1885.07470703125;580;872.9227294921875;580;-2.7729637622833252;580;1.5791804790496826;580;1.59445059299469;580;1.0434762239456177
590;6617.0302734375;590;3414.1904296875;590;-0.47745880484580994;590;4792.96337890625;590;2289.541015625;590;1.5487812757492065;590;1885.07470703125;590;872.9227294921875;590;-2.7729637622833252;590;1.5791804790496826;590;1.59445059299469;590;1.0434762239456177
600;6617.0302734375;600;3414.1904296875;600;-0.47745880484580994;600;4792.96337890625;600;2289.541015625;600;1.5487812757492065;600;1885.07470703125;600;872.9227294921875;600;-2.7729637622833252;600;1.5791804790496826;600;1.59445059299469;600;1.0434762239456177
610;6617.0302734375;610;3414.1904296875;610;-0.47745880484580994;610;4792.96337890625;610;2289.541015625;610;1.5487812757492065;610;1885.07470703125;610;872.9227294921875;610;-2.7729637622833252;610;1.5791804790496826;610;1.59445059299469;610;1.0434762239456177
620;6617.0068359375;620;3414.166015625;620;-0.4777131974697113;620;4792.91845703125;620;2289.49951171875;620;1.5503703355789185;620;1885.0888671875;620;872.97119140625;620;-2.7735366821289062;620;1.5430448055267334;620;1.6258194446563721;620;1.2079997062683106
630;6617.0068359375;630;3414.166015625;630;-0.4777131974697113;630;4792.91845703125;630;2289.49951171875;630;1.5503703355789185;630;1885.0888671875;630;872.97119140625;630;-2.7735366821289062;630;1.5430448055267334;630;1.6258194446563721;630;1.2079997062683106
640;6617.0068359375;640;3414.166015625;640;-0.4777131974697113;640;4792.91845703125;640;2289.49951171875;640;1.5503703355789185;640;1885.0888671875;640;872.97119140625;640;-2.7735366821289062;640;1.5430448055267334;640;1.6258194446563721;640;1.2079997062683106
650;6617.0068359375;650;3414.166015625;650;-0.4777131974697113;650;4792.91845703125;650;2289.49951171875;650;1.5503703355789185;650;1885.0888671875;650;872.97119140625;650;-2.7735366821289062;650;1.5430448055267334;650;1.6258194446563721;650;1.2079997062683106
660;6617.0068359375;660;3414.166015625;660;-0.4777131974697113;660;4792.91845703125;660;2289.49951171875;660;1.5503703355789185;660;1885.0888671875;660;872.97119140625;660;-2.7735366821289062;660;1.5430448055267334;660;1.6258194446563721;660;1.2079997062683106
670;6617.033203125;670;3414.20458984375;670;-0.47751787304878235;670;4792.875;670;2289.50048828125;670;1.5496300458908081;670;1885.0987548828125;670;872.993896484375;670;-2.7731471061706543;670;1.5710936784744263;670;1.4115158319473267;670;1.4552021026611328
680;6617.033203125;680;3414.20458984375;680;-0.47751787304878235;680;4792.875;680;2289.50048828125;680;1.5496300458908081;680;1885.0987548828125;680;872.993896484375;680;-2.7731471061706543;680;1.5710936784744263;680;1.4115158319473267;680;1.4552021026611328
690;6617.033203125;690;3414.20458984375;690;-0.47751787304878235;690;4792.875;690;2289.50048828125;690;1.5496300458908081;690;1885.0987548828125;690;872.993896484375;690;-2.7731471061706543;690;1.5710936784744263;690;1.4115158319473267;690;1.4552021026611328
700;6617.033203125;700;3414.20458984375;700;-0.47751787304878235;700;4792.875;700;2289.50048828125;700;1.5496300458908081;700;1885.0987548828125;700;872.993896484375;700;-2.7731471061706543;700;1.5710936784744263;700;1.4115158319473267;700;1.4552021026611328
710;6616.98828125;710;3414.16162109375;710;-0.47790947556495667;710;4792.88134765625;710;2289.529296875;710;1.5498013496398926;710;1885.0697021484375;710;872.980224609375;710;-2.7744805812835693;710;1.6982719898223877;710;1.4534207582473755;710;1.2921876907348633
720;6616.98828125;720;3414.16162109375;720;-0.47790947556495667;720;4792.88134765625;720;2289.529296875;720;1.5498013496398926;720;1885.0697021484375;720;872.980224609375;720;-2.7744805812835693;720;1.6982719898223877;720;1.4534207582473755;720;1.2921876907348633
730;6616.98828125;730;3414.16162109375;730;-0.47790947556495667;730;4792.88134765625;730;2289.529296875;730;1.5498013496398926;730;1885.0697021484375;730;872.980224609375;730;-2.7744805812835693;730;1.6982719898223877;730;1.4534207582473755;730;1.2921876907348633
740;6616.98828125;740;3414.16162109375;740;-0.47790947556495667;740;4792.88134765625;740;2289.529296875;740;1.5498013496398926;740;1885.0697021484375;740;872.980224609375;740;-2.7744805812835693;740;1.6982719898223877;740;1.4534207582473755;740;1.2921876907348633
750;6616.98828125;750;3414.16162109375;750;-0.47790947556495667;750;4792.88134765625;750;2289.529296875;750;1.5498013496398926;750;1885.0697021484375;750;872.980224609375;750;-2.7744805812835693;750;1.6982719898223877;750;1.4534207582473755;750;1.2921876907348633
760;6617.025390625;760;3414.203125;760;-0.47765770554542542;760;4792.96484375;760;2289.46630859375;760;1.5497298240661621;760;1885.0423583984375;760;872.986328125;760;-2.7742867469787598;760;1.4464278221130371;760;1.3406579494476318;760;1.4175345897674561
770;6617.025390625;770;3414.203125;770;-0.47765770554542542;770;4792.96484375;770;2289.46630859375;770;1.5497298240661621;770;1885.0423583984375;770;872.986328125;770;-2.7742867469787598;770;1.4464278221130371;770;1.3406579494476318;770;1.4175345897674561
780;6617.025390625;780;3414.203125;780;-0.47765770554542542;780;4792.96484375;780;2289.46630859375;780;1.5497298240661621;780;1885.0423583984375;780;872.986328125;780;-2.7742867469787598;780;1.4464278221130371;780;1.3406579494476318;780;1.4175345897674561
790;6617.025390625;790;3414.203125;790;-0.47765770554542542;790;4792.96484375;790;2289.46630859375;790;1.5497298240661621;790;1885.0423583984375;790;872.986328125;790;-2.7742867469787598;790;1.4464278221130371;790;1.3406579494476318;790;1.4175345897674561
800;6617.025390625;800;3414.203125;800;-0.47765770554542542;800;4792.96484375;800;2289.46630859375;800;1.5497298240661621;800;1885.0423583984375;800;872.986328125;800;-2.7742867469787598;800;1.4464278221130371;800;1.3406579494476318;800;1.4175345897674561
810;6617.025390625;810;3414.203125;810;-0.47765770554542542;810;4792.96484375;810;2289.46630859375;810;1.5497298240661621;810;1885.0423583984375;810;872.986328125;810;-2.7742867469787598;810;1.4464278221130371;810;1.3406579494476318;810;1.4175345897674561
820;6617.015625;820;3414.20458984375;820;-0.47742584347724915;820;4792.8818359375;820;2289.47802734375;820;1.5493937730789185;820;1885.131591796875;820;872.94219970703125;820;-2.7726333141326904;820;1.6804767847061157;820;1.8422921895980835;820;1.525140643119812
830;6617.015625;830;3414.20458984375;830;-0.47742584347724915;830;4792.8818359375;830;2289.47802734375;830;1.5493937730789185;830;1885.131591796875;830;872.94219970703125;830;-2.7726333141326904;830;1.6804767847061157;830;1.8422921895980835;830;1.525140643119812
840;6617.015625;840;3414.20458984375;840;-0.47742584347724915;840;4792.8818359375;840;2289.47802734375;840;1.5493937730789185;840;1885.131591796875;840;872.94219970703125;840;-2.7726333141326904;840;1.6804767847061157;840;1.8422921895980835;840;1.525140643119812
850;6617.015625;850;3414.20458984375;850;-0.47742584347724915;850;4792.8818359375;850;2289.47802734375;850;1.5493937730789185;850;1885.131591796875;850;872.94219970703125;850;-2.7726333141326904;850;1.6804767847061157;850;1.8422921895980835;850;1.525140643119812
860;6617.03857421875;860;3414.20703125;860;-0.47718501091003418;860;4792.83154296875;860;2289.49755859375;860;1.5492223501205444;860;1885.118896484375;860;872.93084716796875;860;-2.7731246948242188;860;1.5070557594299316;860;2.0890471935272217;860;1.3943730592727661
870;6617.03857421875;870;3414.20703125;870;-0.47718501091003418;870;4792.83154296875;870;2289.49755859375;870;1.5492223501205444;870;1885.118896484375;870;872.93084716796875;870;-2.7731246948242188;870;1.5070557594299316;870;2.0890471935272217;870;1.3943730592727661
880;6617.03857421875;880;3414.20703125;880;-0.47718501091003418;880;4792.83154296875;880;2289.49755859375;880;1.5492223501205444;880;1885.118896484375;880;872.93084716796875;880;-2.7731246948242188;880;1.5070557594299316;880;2.0890471935272217;880;1.3943730592727661
890;6617.03857421875;890;3414.20703125;890;-0.47718501091003418;890;4792.83154296875;890;2289.49755859375;890;1.5492223501205444;890;1885.118896484375;890;872.93084716796875;890;-2.7731246948242188;890;1.5070557594299316;890;2.0890471935272217;890;1.3943730592727661
900;6617.03857421875;900;3414.20703125;900;-0.47718501091003418;900;4792.83154296875;900;2289.49755859375;900;1.5492223501205444;900;1885.118896484375;900;872.93084716796875;900;-2.7731246948242188;900;1.5070557594299316;900;2.0890471935272217;900;1.3943730592727661
910;6617.0244140625;910;3414.182373046875;910;-0.47748711705207825;910;4792.962890625;910;2289.5146484375;910;1.5503585338592529;910;1885.089111328125;910;872.933837890625;910;-2.7735824584960938;910;1.527484655380249;910;1.3708324432373047;910;1.3202567100524902
920;6617.0244140625;920;3414.182373046875;920;-0.47748711705207825;920;4792.962890625;920;2289.5146484375;920;1.5503585338592529;920;1885.089111328125;920;872.933837890625;920;-2.7735824584960938;920;1.527484655380249;920;1.3708324432373047;920;1.3202567100524902
930;6617.0244140625;930;3414.182373046875;930;-0.47748711705207825;930;4792.962890625;930;2289.5146484375;930;1.5503585338592529;930;1885.089111328125;930;872.933837890625;930;-2.7735824584960938;930;1.527484655380249;930;1.3708324432373047;930;1.3202567100524902
940;6617.0244140625;940;3414.182373046875;940;-0.47748711705207825;940;4792.962890625;940;2289.5146484375;940;1.5503585338592529;940;1885.089111328125;940;872.933837890625;940;-2.7735824584960938;940;1.527484655380249;940;1.3708324432373047;940;1.3202567100524902
950;6617.0244140625;950;3414.182373046875;950;-0.47748711705207825;950;4792.962890625;950;2289.5146484375;950;1.5503585338592529;950;1885.089111328125;950;872.933837890625;950;-2.7735824584960938;950;1.527484655380249;950;1.3708324432373047;950;1.3202567100524902
960;6617.0244140625;960;3414.182373046875;960;-0.47748711705207825;960;4792.962890625;960;2289.5146484375;960;1.5503585338592529;960;1885.089111328125;960;872.933837890625;960;-2.7735824584960938;960;1.527484655380249;960;1.3708324432373047;960;1.3202567100524902
970;6617.08740234375;970;3414.2080078125;970;-0.47722986340522766;970;4792.8955078125;970;2289.551513671875;970;1.5504136085510254;970;1885.04638671875;970;873.00299072265625;970;-2.7738096714019775;970;1.3710302114486694;970;1.9427376985549927;970;1.4280909299850464
980;6617.08740234375;980;3414.2080078125;980;-0.47722986340522766;980;4792.8955078125;980;2289.551513671875;980;1.5504136085510254;980;1885.04638671875;980;873.00299072265625;980;-2.7738096714019775;980;1.3710302114486694;980;1.9427376985549927;980;1.4280909299850464
990;6617.08740234375;990;3414.2080078125;990;-0.47722986340522766;990;4792.8955078125;990;2289.551513671875;990;1.5504136085510254;990;1885.04638671875;990;873.00299072265625;990;-2.7738096714019775;990;1.3710302114486694;990;1.9427376985549927;990;1.4280909299850464
