Name;CameraNoise;
File;E:\hawino\Measurements\CameraNoise.csv;
Starttime of export;133204328342999000;Donnerstag, 9. Februar 2023;17:13:54.299
Endtime of export;133204328760099000;Donnerstag, 9. Februar 2023;17:14:36.009


Name;cam2x;Name;cam2y;Name;cam2theta;Name;cam4x;Name;cam4y;Name;cam4theta;Name;cam3x;Name;cam3y;Name;cam3theta;Name;cam2e;Name;cam3e;Name;cam4e
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;CameraNoise.cam2x;SymbolName;CameraNoise.cam2y;SymbolName;CameraNoise.cam2theta;SymbolName;CameraNoise.cam4x;SymbolName;CameraNoise.cam4y;SymbolName;CameraNoise.cam4theta;SymbolName;CameraNoise.cam3x;SymbolName;CameraNoise.cam3y;SymbolName;CameraNoise.cam3theta;SymbolName;CameraNoise.cam2e;SymbolName;CameraNoise.cam3e;SymbolName;CameraNoise.cam4e
NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1
Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851

40;6616.9873046875;40;3414.1865234375;40;-0.4776226282119751;40;4792.939453125;40;2289.51220703125;40;1.549433708190918;40;1885.073486328125;40;873.0421142578125;40;-2.7736854553222656;40;1.4734556674957275;40;1.5588606595993042;40;1.301891565322876
50;6616.9873046875;50;3414.1865234375;50;-0.4776226282119751;50;4792.939453125;50;2289.51220703125;50;1.549433708190918;50;1885.073486328125;50;873.0421142578125;50;-2.7736854553222656;50;1.4734556674957275;50;1.5588606595993042;50;1.301891565322876
60;6616.9873046875;60;3414.1865234375;60;-0.4776226282119751;60;4792.939453125;60;2289.51220703125;60;1.549433708190918;60;1885.073486328125;60;873.0421142578125;60;-2.7736854553222656;60;1.4734556674957275;60;1.5588606595993042;60;1.301891565322876
70;6617.04248046875;70;3414.2119140625;70;-0.4774518609046936;70;4792.8544921875;70;2289.46044921875;70;1.5500643253326416;70;1885.104736328125;70;872.9686279296875;70;-2.7728354930877686;70;1.5598807334899902;70;1.3889727592468262;70;1.1595052480697632
80;6617.04248046875;80;3414.2119140625;80;-0.4774518609046936;80;4792.8544921875;80;2289.46044921875;80;1.5500643253326416;80;1885.104736328125;80;872.9686279296875;80;-2.7728354930877686;80;1.5598807334899902;80;1.3889727592468262;80;1.1595052480697632
90;6617.04248046875;90;3414.2119140625;90;-0.4774518609046936;90;4792.8544921875;90;2289.46044921875;90;1.5500643253326416;90;1885.104736328125;90;872.9686279296875;90;-2.7728354930877686;90;1.5598807334899902;90;1.3889727592468262;90;1.1595052480697632
100;6617.04248046875;100;3414.2119140625;100;-0.4774518609046936;100;4792.8544921875;100;2289.46044921875;100;1.5500643253326416;100;1885.104736328125;100;872.9686279296875;100;-2.7728354930877686;100;1.5598807334899902;100;1.3889727592468262;100;1.1595052480697632
110;6617.04248046875;110;3414.2119140625;110;-0.4774518609046936;110;4792.8544921875;110;2289.46044921875;110;1.5500643253326416;110;1885.104736328125;110;872.9686279296875;110;-2.7728354930877686;110;1.5598807334899902;110;1.3889727592468262;110;1.1595052480697632
120;6617.04248046875;120;3414.2119140625;120;-0.4774518609046936;120;4792.8544921875;120;2289.46044921875;120;1.5500643253326416;120;1885.104736328125;120;872.9686279296875;120;-2.7728354930877686;120;1.5598807334899902;120;1.3889727592468262;120;1.1595052480697632
130;6617.03662109375;130;3414.19580078125;130;-0.4775567352771759;130;4792.9365234375;130;2289.590087890625;130;1.5491899251937866;130;1885.112060546875;130;872.9007568359375;130;-2.7731473445892334;130;1.6016701459884644;130;1.5831860303878784;130;1.4204244613647461
140;6617.03662109375;140;3414.19580078125;140;-0.4775567352771759;140;4792.9365234375;140;2289.590087890625;140;1.5491899251937866;140;1885.112060546875;140;872.9007568359375;140;-2.7731473445892334;140;1.6016701459884644;140;1.5831860303878784;140;1.4204244613647461
150;6617.03662109375;150;3414.19580078125;150;-0.4775567352771759;150;4792.9365234375;150;2289.590087890625;150;1.5491899251937866;150;1885.112060546875;150;872.9007568359375;150;-2.7731473445892334;150;1.6016701459884644;150;1.5831860303878784;150;1.4204244613647461
160;6617.03662109375;160;3414.19580078125;160;-0.4775567352771759;160;4792.9365234375;160;2289.590087890625;160;1.5491899251937866;160;1885.112060546875;160;872.9007568359375;160;-2.7731473445892334;160;1.6016701459884644;160;1.5831860303878784;160;1.4204244613647461
170;6617.05126953125;170;3414.194091796875;170;-0.47720107436180115;170;4792.8837890625;170;2289.5341796875;170;1.5492175817489624;170;1885.095947265625;170;872.9271240234375;170;-2.7736964225769043;170;1.4706733226776123;170;1.5884349346160889;170;1.3673195838928223
180;6617.05126953125;180;3414.194091796875;180;-0.47720107436180115;180;4792.8837890625;180;2289.5341796875;180;1.5492175817489624;180;1885.095947265625;180;872.9271240234375;180;-2.7736964225769043;180;1.4706733226776123;180;1.5884349346160889;180;1.3673195838928223
190;6617.05126953125;190;3414.194091796875;190;-0.47720107436180115;190;4792.8837890625;190;2289.5341796875;190;1.5492175817489624;190;1885.095947265625;190;872.9271240234375;190;-2.7736964225769043;190;1.4706733226776123;190;1.5884349346160889;190;1.3673195838928223
