Name;Measurements;
File;E:\hawino\Measurements\WallCrash.csv;
Starttime of export;133262943588028000;Dienstag, 18. April 2023;14:25:58.802
Endtime of export;133262943676393450;Dienstag, 18. April 2023;14:26:07.639


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xRef;xCam;xKalman;yObs;yRef;yCam;yKalman;thetaObs;thetaCam;thetaKalman;thetaRef;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;newCamDataArrived;bumper;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;i1;i2;i3
26;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;126;0;26;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-6
28;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;136;0;28;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;-3
30;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;146;0;30;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;-8
32;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;156;0;32;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;4
34;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;166;0;34;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;4
36;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;176;0;36;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;4
38;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;186;0;38;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;4
40;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;196;0;40;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;4
42;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;206;0;42;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;0
44;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;216;0;44;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-4
