t;yObs;yRef;yCam;yKalman
252;1205.404359;0;1205.405396;1205.405395
254;1205.404359;0;1205.405396;1205.405395
256;1205.404359;0;1205.405396;1205.405395
258;1205.404359;0;1205.405396;1205.405395
260;1205.404359;0;1205.405396;1205.405395
262;1205.404359;0;1205.405396;1205.405395
264;1205.404359;0;1205.405396;1205.405395
266;1205.404359;0;1205.405396;1205.405395
268;1205.404359;0;1205.405396;1205.405395
270;1205.405402;0;1205.43335;1205.433349
272;1205.405402;0;1205.43335;1205.433349
274;1205.405402;0;1205.43335;1205.433349
276;1205.405402;0;1205.43335;1205.433349
278;1205.405402;0;1205.43335;1205.433349
280;1205.405402;0;1205.43335;1205.433349
282;1205.405402;0;1205.43335;1205.433349
284;1205.405402;0;1205.43335;1205.433349
286;1205.405402;0;1205.43335;1205.433349
288;1205.405402;0;1205.43335;1205.433349
290;1205.405402;0;1205.43335;1205.433349
292;1205.405402;0;1205.43335;1205.433349
294;1205.405402;0;1205.43335;1205.433349
296;1205.405402;0;1205.43335;1205.433349
298;1205.405402;0;1205.43335;1205.433349
300;1205.405402;0;1205.43335;1205.433349
302;1205.405402;0;1205.43335;1205.433349
304;1205.405402;0;1205.43335;1205.433349
306;1205.405402;0;1205.43335;1205.433349
308;1205.405402;0;1205.43335;1205.433349
310;1205.405402;0;1205.43335;1205.433349
312;1205.405402;0;1205.43335;1205.433349
314;1205.405402;0;1205.43335;1205.433349
316;1205.405402;0;1205.43335;1205.433349
318;1205.405402;0;1205.43335;1205.433349
320;1205.405402;0;1205.43335;1205.433349
322;1205.405402;0;1205.43335;1205.433349
324;1205.405402;0;1205.43335;1205.433349
326;1205.405402;0;1205.43335;1205.433349
328;1205.405402;0;1205.43335;1205.433349
330;1205.405705;0;1205.413818;1205.413819
332;1205.405705;0;1205.413818;1205.413819
334;1205.405705;0;1205.413818;1205.413819
336;1205.405705;0;1205.413818;1205.413819
338;1205.405705;0;1205.413818;1205.413819
340;1205.405705;0;1205.413818;1205.413819
342;1205.405705;0;1205.413818;1205.413819
344;1205.405705;0;1205.413818;1205.413819
346;1205.405705;0;1205.413818;1205.413819
348;1205.405705;0;1205.413818;1205.413819
350;1205.405705;0;1205.413818;1205.413819
352;1205.405705;0;1205.413818;1205.413819
354;1205.405705;0;1205.413818;1205.413819
356;1205.405705;0;1205.413818;1205.413819
358;1205.405705;0;1205.413818;1205.413819
360;1205.405705;0;1205.413818;1205.413819
362;1205.405705;0;1205.413818;1205.413819
364;1205.405705;0;1205.413818;1205.413819
366;1205.405705;0;1205.413818;1205.413819
368;1205.405705;0;1205.413818;1205.413819
370;1205.405705;0;1205.413818;1205.413819
372;1205.405705;0;1205.413818;1205.413819
374;1205.405705;0;1205.413818;1205.413819
376;1205.405705;0;1205.413818;1205.413819
378;1205.405705;0;1205.413818;1205.413819
380;1205.405705;0;1205.413818;1205.413819
382;1205.405705;0;1205.413818;1205.413819
384;1205.405705;0;1205.413818;1205.413819
386;1205.405705;0;1205.413818;1205.413819
388;1205.405705;0;1205.413818;1205.413819
390;1205.404644;0;1205.376221;1205.376221
392;1205.404644;0;1205.376221;1205.376221
394;1205.404644;0;1205.376221;1205.376221
396;1205.404644;0;1205.376221;1205.376221
398;1205.404644;0;1205.376221;1205.376221
400;1205.404644;0;1205.376221;1205.376221
402;1205.404644;0;1205.376221;1205.376221
404;1205.404644;0;1205.376221;1205.376221
406;1205.404644;0;1205.376221;1205.376221
408;1205.404644;0;1205.376221;1205.376221
410;1205.404644;0;1205.376221;1205.376221
412;1205.404644;0;1205.376221;1205.376221
414;1205.404644;0;1205.376221;1205.376221
416;1205.404644;0;1205.376221;1205.376221
418;1205.404644;0;1205.376221;1205.376221
420;1205.404644;0;1205.376221;1205.376221
422;1205.404644;0;1205.376221;1205.376221
424;1205.404644;0;1205.376221;1205.376221
426;1205.404644;0;1205.376221;1205.376221
428;1205.404644;0;1205.376221;1205.376221
430;1205.404644;0;1205.376221;1205.376221
432;1205.404644;0;1205.376221;1205.376221
434;1205.404644;0;1205.376221;1205.376221
436;1205.404644;0;1205.376221;1205.376221
438;1205.404644;0;1205.376221;1205.376221
440;1205.405185;0;1205.419678;1205.419677
442;1205.405185;0;1205.419678;1205.419677
444;1205.405185;0;1205.419678;1205.419677
446;1205.405185;0;1205.419678;1205.419677
448;1205.405185;0;1205.419678;1205.419677
450;1205.405185;0;1205.419678;1205.419677
452;1205.405185;0;1205.419678;1205.419677
454;1205.405185;0;1205.419678;1205.419677
456;1205.405185;0;1205.419678;1205.419677
458;1205.405185;0;1205.419678;1205.419677
460;1205.405185;0;1205.419678;1205.419677
462;1205.405185;0;1205.419678;1205.419677
464;1205.405185;0;1205.419678;1205.419677
466;1205.405185;0;1205.419678;1205.419677
468;1205.405185;0;1205.419678;1205.419677
470;1205.405185;0;1205.419678;1205.419677
472;1205.405185;0;1205.419678;1205.419677
474;1205.405185;0;1205.419678;1205.419677
476;1205.405185;0;1205.419678;1205.419677
478;1205.405185;0;1205.419678;1205.419677
480;1205.405185;0;1205.419678;1205.419677
482;1205.405185;0;1205.419678;1205.419677
484;1205.405185;0;1205.419678;1205.419677
486;1205.405185;0;1205.419678;1205.419677
488;1205.405185;0;1205.419678;1205.419677
490;1205.405185;0;1205.419678;1205.419677
492;1205.405185;0;1205.419678;1205.419677
494;1205.405185;0;1205.419678;1205.419677
496;1205.405185;0;1205.419678;1205.419677
498;1205.405185;0;1205.419678;1205.419677
500;1205.404529;0;1205.386963;1205.386963
502;1205.404529;0;1205.386963;1205.386963
504;1205.404529;0;1205.386963;1205.386963
506;1205.404529;0;1205.386963;1205.386963
508;1205.404529;0;1205.386963;1205.386963
510;1205.404529;0;1205.386963;1205.386963
512;1205.404529;0;1205.386963;1205.386963
514;1205.404529;0;1205.386963;1205.386963
516;1205.404529;0;1205.386963;1205.386963
518;1205.404529;0;1205.386963;1205.386963
520;1205.404529;0;1205.386963;1205.386963
522;1205.404529;0;1205.386963;1205.386963
524;1205.404529;0;1205.386963;1205.386963
526;1205.404529;0;1205.386963;1205.386963
528;1205.404529;0;1205.386963;1205.386963
530;1205.404529;0;1205.386963;1205.386963
532;1205.404529;0;1205.386963;1205.386963
534;1205.404529;0;1205.386963;1205.386963
536;1205.404529;0;1205.386963;1205.386963
538;1205.404529;0;1205.386963;1205.386963
540;1205.404529;0;1205.386963;1205.386963
542;1205.404529;0;1205.386963;1205.386963
544;1205.404529;0;1205.386963;1205.386963
546;1205.404529;0;1205.386963;1205.386963
548;1205.404529;0;1205.386963;1205.386963
550;1205.404529;0;1205.386963;1205.386963
552;1205.404529;0;1205.386963;1205.386963
554;1205.404529;0;1205.386963;1205.386963
556;1205.404529;0;1205.386963;1205.386963
558;1205.404529;0;1205.386963;1205.386963
560;1205.404468;0;1205.402832;1205.402832
562;1205.404468;0;1205.402832;1205.402832
564;1205.404468;0;1205.402832;1205.402832
566;1205.404468;0;1205.402832;1205.402832
568;1205.404468;0;1205.402832;1205.402832
570;1205.404468;0;1205.402832;1205.402832
572;1205.404468;0;1205.402832;1205.402832
574;1205.404468;0;1205.402832;1205.402832
576;1205.404468;0;1205.402832;1205.402832
578;1205.404468;0;1205.402832;1205.402832
580;1205.404468;0;1205.402832;1205.402832
582;1205.404468;0;1205.402832;1205.402832
584;1205.404468;0;1205.402832;1205.402832
586;1205.404468;0;1205.402832;1205.402832
588;1205.404468;0;1205.402832;1205.402832
590;1205.404468;0;1205.402832;1205.402832
592;1205.404468;0;1205.402832;1205.402832
594;1205.404468;0;1205.402832;1205.402832
596;1205.404468;0;1205.402832;1205.402832
598;1205.404468;0;1205.402832;1205.402832
600;1205.404468;0;1205.402832;1205.402832
602;1205.404468;0;1205.402832;1205.402832
604;1205.404468;0;1205.402832;1205.402832
606;1205.404468;0;1205.402832;1205.402832
608;1205.404468;0;1205.402832;1205.402832
610;1205.404198;0;1205.396973;1205.396973
612;1205.404198;0;1205.396973;1205.396973
614;1205.404198;0;1205.396973;1205.396973
616;1205.404198;0;1205.396973;1205.396973
618;1205.404198;0;1205.396973;1205.396973
620;1205.404198;0;1205.396973;1205.396973
622;1205.404198;0;1205.396973;1205.396973
624;1205.404198;0;1205.396973;1205.396973
626;1205.404198;0;1205.396973;1205.396973
628;1205.404198;0;1205.396973;1205.396973
630;1205.404198;0;1205.396973;1205.396973
632;1205.404198;0;1205.396973;1205.396973
634;1205.404198;0;1205.396973;1205.396973
636;1205.404198;0;1205.396973;1205.396973
638;1205.404198;0;1205.396973;1205.396973
640;1205.404198;0;1205.396973;1205.396973
642;1205.404198;0;1205.396973;1205.396973
644;1205.404198;0;1205.396973;1205.396973
646;1205.404198;0;1205.396973;1205.396973
648;1205.404198;0;1205.396973;1205.396973
650;1205.404198;0;1205.396973;1205.396973
652;1205.404198;0;1205.396973;1205.396973
654;1205.404198;0;1205.396973;1205.396973
656;1205.404198;0;1205.396973;1205.396973
658;1205.404198;0;1205.396973;1205.396973
660;1205.404198;0;1205.396973;1205.396973
662;1205.404198;0;1205.396973;1205.396973
664;1205.404198;0;1205.396973;1205.396973
666;1205.404198;0;1205.396973;1205.396973
668;1205.404198;0;1205.396973;1205.396973
670;1205.404198;0;1205.396973;1205.396973
672;1205.404198;0;1205.396973;1205.396973
674;1205.404198;0;1205.396973;1205.396973
676;1205.404198;0;1205.396973;1205.396973
678;1205.404198;0;1205.396973;1205.396973
680;1205.404198;0;1205.396973;1205.396973
682;1205.404198;0;1205.396973;1205.396973
684;1205.404198;0;1205.396973;1205.396973
686;1205.404198;0;1205.396973;1205.396973
688;1205.404198;0;1205.396973;1205.396973
690;1205.404198;0;1205.396973;1205.396973
692;1205.404198;0;1205.396973;1205.396973
694;1205.404198;0;1205.396973;1205.396973
696;1205.404198;0;1205.396973;1205.396973
698;1205.404198;0;1205.396973;1205.396973
700;1205.404198;0;1205.396973;1205.396973
702;1205.404198;0;1205.396973;1205.396973
704;1205.404198;0;1205.396973;1205.396973
706;1205.404198;0;1205.396973;1205.396973
708;1205.404198;0;1205.396973;1205.396973
710;1205.404198;0;1205.396973;1205.396973
712;1205.404198;0;1205.396973;1205.396973
714;1205.404198;0;1205.396973;1205.396973
716;1205.404198;0;1205.396973;1205.396973
718;1205.404198;0;1205.396973;1205.396973
720;1205.404198;0;1205.396973;1205.396973
722;1205.404198;0;1205.396973;1205.396973
724;1205.404198;0;1205.396973;1205.396973
726;1205.404198;0;1205.396973;1205.396973
728;1205.404198;0;1205.396973;1205.396973
730;1205.404338;0;1205.408081;1205.408081
732;1205.404338;0;1205.408081;1205.408081
734;1205.404338;0;1205.408081;1205.408081
736;1205.404338;0;1205.408081;1205.408081
738;1205.404338;0;1205.408081;1205.408081
740;1205.404338;0;1205.408081;1205.408081
742;1205.404338;0;1205.408081;1205.408081
744;1205.404338;0;1205.408081;1205.408081
746;1205.404338;0;1205.408081;1205.408081
748;1205.404338;0;1205.408081;1205.408081
750;1205.404338;0;1205.408081;1205.408081
752;1205.404338;0;1205.408081;1205.408081
754;1205.404338;0;1205.408081;1205.408081
756;1205.404338;0;1205.408081;1205.408081
758;1205.404338;0;1205.408081;1205.408081
760;1205.404338;0;1205.408081;1205.408081
762;1205.404338;0;1205.408081;1205.408081
764;1205.404338;0;1205.408081;1205.408081
766;1205.404338;0;1205.408081;1205.408081
768;1205.404338;0;1205.408081;1205.408081
770;1205.404338;0;1205.408081;1205.408081
772;1205.404338;0;1205.408081;1205.408081
774;1205.404338;0;1205.408081;1205.408081
776;1205.404338;0;1205.408081;1205.408081
778;1205.404338;0;1205.408081;1205.408081
780;1205.404785;0;1205.416748;1205.416748
782;1205.404785;0;1205.416748;1205.416748
784;1205.404785;0;1205.416748;1205.416748
786;1205.404785;0;1205.416748;1205.416748
788;1205.404785;0;1205.416748;1205.416748
790;1205.404785;0;1205.416748;1205.416748
792;1205.404785;0;1205.416748;1205.416748
794;1205.404785;0;1205.416748;1205.416748
796;1205.404785;0;1205.416748;1205.416748
798;1205.404785;0;1205.416748;1205.416748
800;1205.404785;0;1205.416748;1205.416748
802;1205.404785;0;1205.416748;1205.416748
804;1205.404785;0;1205.416748;1205.416748
806;1205.404785;0;1205.416748;1205.416748
808;1205.404785;0;1205.416748;1205.416748
810;1205.404785;0;1205.416748;1205.416748
812;1205.404785;0;1205.416748;1205.416748
814;1205.404785;1205.43396;1205.416748;1205.416748
816;1205.404785;1205.43396;1205.416748;1205.416748
818;1205.404785;1205.43396;1205.416748;1205.416748
820;1205.404785;1205.43396;1205.416748;1205.416748
822;1205.404785;1205.43396;1205.416748;1205.416748
824;1205.404785;1205.43396;1205.416748;1205.416748
826;1205.404785;1205.43396;1205.416748;1205.416748
828;1205.404785;1205.43396;1205.416748;1205.416748
830;1205.404785;1205.43396;1205.416748;1205.416748
832;1205.404785;1205.43396;1205.416748;1205.416748
834;1205.404785;1205.43396;1205.416748;1205.416748
836;1205.404785;1205.43396;1205.416748;1205.416748
838;1205.404785;1205.43396;1205.416748;1205.416748
840;1205.404741;1205.43396;1205.403564;1205.403565
842;1205.404741;1205.43396;1205.403564;1205.403565
844;1205.404741;1205.43396;1205.403564;1205.403565
846;1205.404741;1205.43396;1205.403564;1205.403565
848;1205.404741;1205.43396;1205.403564;1205.403565
850;1205.404741;1205.43396;1205.403564;1205.403565
852;1205.404741;1205.43396;1205.403564;1205.403565
854;1205.404741;1205.43396;1205.403564;1205.403565
856;1205.404741;1205.43396;1205.403564;1205.403565
858;1205.404741;1205.43396;1205.403564;1205.403565
860;1205.404741;1205.43396;1205.403564;1205.403565
862;1205.404741;1205.43396;1205.403564;1205.403565
864;1205.404741;1205.43396;1205.403564;1205.403565
866;1205.404741;1205.43396;1205.403564;1205.403565
868;1205.404741;1205.43396;1205.403564;1205.403565
870;1205.404741;1205.43396;1205.403564;1205.403565
872;1205.404741;1205.43396;1205.403564;1205.403565
874;1205.404741;1205.43396;1205.403564;1205.403565
876;1205.404741;1205.43396;1205.403564;1205.403565
878;1205.407062;1205.43396;1205.403564;1205.405887
880;1205.41414;1205.43396;1205.403564;1205.412969
882;1205.42592;1205.43396;1205.403564;1205.424754
884;1205.442402;1205.43396;1205.403564;1205.441245
886;1205.456567;1205.43396;1205.403564;1205.455417
888;1205.470734;1205.43396;1205.403564;1205.469591
890;1205.47782;1205.43396;1205.403564;1205.47668
892;1205.480144;1205.43396;1205.403564;1205.479006
894;1205.480144;1205.43396;1205.403564;1205.479006
896;1205.482468;1205.43396;1205.403564;1205.481331
898;1205.489555;1205.43396;1205.403564;1205.488422
900;1205.49777;1205.43396;1205.383057;1205.401949
902;1205.516183;1205.43396;1205.383057;1205.420342
904;1205.5346;1205.43396;1205.383057;1205.43874
906;1205.550696;1205.43396;1205.383057;1205.454818
908;1205.559701;1205.43396;1205.383057;1205.463814
910;1205.568706;1205.43396;1205.383057;1205.472811
912;1205.576708;1205.43396;1205.383057;1205.480804
914;1205.584712;1205.69713;1205.383057;1205.488798
916;1205.597427;1205.69713;1205.383057;1205.501499
918;1205.614856;1205.69713;1205.383057;1205.518909
920;1205.63229;1205.69713;1205.383057;1205.536323
922;1205.648269;1205.69713;1205.383057;1205.552284
924;1205.661924;1205.69713;1205.383057;1205.565922
926;1205.673195;1205.69713;1205.383057;1205.57718
928;1205.686855;1205.69713;1205.383057;1205.590824
930;1205.700519;1205.69713;1205.383057;1205.604471
932;1205.707078;1205.69713;1205.383057;1205.611022
934;1205.706529;1205.69713;1205.383057;1205.610472
936;1205.70598;1205.69713;1205.383057;1205.609923
938;1205.710151;1205.69713;1205.383057;1205.614088
940;1205.719043;1205.69713;1205.383057;1205.622969
942;1205.737985;1205.69713;1205.383057;1205.64189
944;1205.74743;1205.69713;1205.383057;1205.651324
946;1205.74743;1205.69713;1205.383057;1205.651324
948;1205.740317;1205.69713;1205.383057;1205.644219
950;1205.735594;1205.69713;1205.383057;1205.639501
952;1205.734952;1205.69713;1205.383057;1205.638854
954;1205.743812;1205.69713;1205.383057;1205.647697
956;1205.747951;1205.69713;1205.383057;1205.651824
958;1205.744978;1205.69713;1205.383057;1205.648847
960;1205.721746;1205.69713;1205.382813;1205.369759
962;1205.720486;1205.69713;1205.382813;1205.368489
964;1205.726278;1206.223469;1205.382813;1205.37423
966;1205.736789;1206.223469;1205.382813;1205.384664
968;1205.74258;1206.223469;1205.382813;1205.390405
970;1205.738932;1206.223469;1205.382813;1205.38676
972;1205.736504;1206.223469;1205.382813;1205.384317
974;1205.736464;1206.223469;1205.382813;1205.384247
976;1205.743468;1206.223469;1205.382813;1205.391182
978;1205.748085;1206.223469;1205.382813;1205.395743
980;1205.745655;1206.223469;1205.382813;1205.393298
982;1205.747837;1206.223469;1205.382813;1205.395409
984;1205.754786;1206.223469;1205.382813;1205.40226
986;1205.756964;1206.223469;1205.382813;1205.404366
988;1205.754484;1206.223469;1205.382813;1205.401842
990;1205.754328;1206.223469;1205.382813;1205.401629
992;1205.76268;1206.223469;1205.382813;1205.409874
994;1205.766263;1206.223469;1205.382813;1205.413378
996;1205.765193;1206.223469;1205.382813;1205.412255
998;1205.771149;1206.223469;1205.382813;1205.418118
1000;1205.781804;1206.223469;1205.382813;1205.428654
1002;1205.793546;1206.223469;1205.382813;1205.44027
1004;1205.800522;1206.223469;1205.382813;1205.447148
1006;1205.812248;1206.223469;1205.382813;1205.458749
1008;1205.828667;1206.223469;1205.382813;1205.475015
1010;1205.842702;1206.223469;1205.382813;1205.488912
1012;1205.847253;1206.223469;1205.382813;1205.493325
1014;1205.854115;1207.012979;1205.382813;1205.500036
1016;1205.870414;1207.012979;1205.382813;1205.51613
1018;1205.879641;1207.012979;1205.382813;1205.525192
1020;1205.868009;1207.012979;1205.421509;1205.434966
1022;1205.893653;1207.012979;1205.421509;1205.460636
1024;1205.923992;1207.012979;1205.421509;1205.491008
1026;1205.949642;1207.012979;1205.421509;1205.516684
1028;1205.97292;1207.012979;1205.421509;1205.539983
1030;1206.003268;1207.012979;1205.421509;1205.570365
1032;1206.040387;1207.012979;1205.421509;1205.607547
1034;1206.072763;1207.012979;1205.421509;1205.639976
1036;1206.102824;1207.012979;1205.421509;1205.670085
1038;1206.139965;1207.012979;1205.421509;1205.707288
1040;1206.181814;1207.012979;1205.421509;1205.749208
1042;1206.21007;1207.012979;1205.421509;1205.777534
1044;1206.231256;1207.012979;1205.421509;1205.798776
1046;1206.264293;1207.012979;1205.421509;1205.831892
1048;1206.304435;1207.012979;1205.421509;1205.872126
1050;1206.337512;1207.012979;1205.421509;1205.905282
1052;1206.376726;1207.012979;1205.421509;1205.944569
1054;1206.418337;1207.012979;1205.421509;1205.986258
1056;1206.464678;1207.012979;1205.421509;1206.032685
1058;1206.499221;1207.012979;1205.421509;1206.067293
1060;1206.536104;1207.012979;1205.421509;1206.104245
1062;1206.601592;1207.012979;1205.421509;1206.169786
1064;1206.671812;1208.065658;1205.421509;1206.240068
1066;1206.739716;1208.065658;1205.421509;1206.308031
1068;1206.805243;1208.065658;1205.421509;1206.373612
1070;1206.873175;1208.065658;1205.421509;1206.441603
1072;1206.934611;1208.065658;1205.421509;1206.50313
1074;1206.993672;1208.065658;1205.421509;1206.562277
1076;1207.050355;1208.065658;1205.421509;1206.619043
1078;1207.116577;1208.065658;1205.421509;1206.685365
1080;1207.131865;1208.065658;1205.436646;1205.576488
1082;1207.192232;1208.065658;1205.436646;1205.636502
1084;1207.25028;1208.065658;1205.436646;1205.69421
1086;1207.308348;1208.065658;1205.436646;1205.751937
1088;1207.364036;1208.065658;1205.436646;1205.807296
1090;1207.419739;1208.065658;1205.436646;1205.862671
1092;1207.529064;1208.065658;1205.436646;1205.971754
1094;1207.631275;1208.065658;1205.436646;1206.07376
1096;1207.735862;1208.065658;1205.436646;1206.178129
1098;1207.845292;1208.065658;1205.436646;1206.287318
1100;1207.952352;1208.065658;1205.436646;1206.394149
1102;1208.037377;1208.065658;1205.436646;1206.478833
1104;1208.129608;1208.065658;1205.436646;1206.570687
1106;1208.219468;1208.065658;1205.436646;1206.660182
1108;1208.304598;1208.065658;1205.436646;1206.74497
1110;1208.394528;1208.065658;1205.436646;1206.834535
1112;1208.456216;1208.065658;1205.436646;1206.895913
1114;1208.520375;1209.381508;1205.436646;1206.95975
1116;1208.594215;1209.381508;1205.436646;1207.03322
1118;1208.670498;1209.381508;1205.436646;1207.109122
1120;1208.744497;1209.381508;1205.436646;1207.182751
1122;1208.832199;1209.381508;1205.436646;1207.270121
1124;1208.924773;1209.381508;1205.436646;1207.36234
1126;1209.015051;1209.381508;1205.436646;1207.452274
1128;1209.102969;1209.381508;1205.436646;1207.53986
1130;1209.063694;1209.381508;1205.346191;1205.526278
1132;1209.161389;1209.381508;1205.346191;1205.621422
1134;1209.256713;1209.381508;1205.346191;1205.714259
1136;1209.354541;1209.381508;1205.346191;1205.809536
1138;1209.452436;1209.381508;1205.346191;1205.904881
1140;1209.545511;1209.381508;1205.346191;1205.995535
1142;1209.650336;1209.381508;1205.346191;1206.098699
1144;1209.750406;1209.381508;1205.346191;1206.197237
1146;1209.848099;1209.381508;1205.346191;1206.293462
1148;1209.953169;1209.381508;1205.346191;1206.396875
1150;1210.055866;1209.381508;1205.346191;1206.497979
1152;1210.143197;1209.381508;1205.346191;1206.583009
1154;1210.235523;1209.381508;1205.346191;1206.672907
1156;1210.330334;1209.381508;1205.346191;1206.765228
1158;1210.417884;1209.381508;1205.346191;1206.850478
1160;1210.507971;1209.381508;1205.346191;1206.938203
1162;1210.57626;1209.381508;1205.346191;1207.004563
1164;1210.652005;1210.960527;1205.346191;1207.078189
1166;1210.730337;1210.960527;1205.346191;1207.154339
1168;1210.806302;1210.960527;1205.346191;1207.228187
1170;1210.882377;1210.960527;1205.346191;1207.302145
1172;1210.961642;1210.960527;1205.346191;1207.379269
1174;1211.038583;1210.960527;1205.346191;1207.454131
1176;1211.120552;1210.960527;1205.346191;1207.533897
1178;1211.205132;1210.960527;1205.346191;1207.616209
1180;1211.289831;1210.960527;1205.346191;1207.698642
1182;1211.425772;1210.960527;1205.346191;1207.832292
1184;1211.564328;1210.960527;1205.346191;1207.968495
1186;1211.697977;1210.960527;1205.346191;1208.09992
1188;1211.829274;1210.960527;1205.346191;1208.229056
