t;xObs;xRef;xCam;xKalman
552;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
554;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
556;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
558;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
560;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
562;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
564;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
566;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
568;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
570;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
572;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
574;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
576;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
578;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
580;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
582;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
584;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
586;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
588;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
590;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
592;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
594;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
596;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
598;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
600;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
602;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
604;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
606;3297.1322648387863;3227.6055744027631;3297.15185546875;3297.1518559700844
608;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
610;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
612;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
614;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
616;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
618;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
620;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
622;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
624;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
626;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
628;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
630;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
